text,target
¿no que lo que pasa en las vegas se queda en las vegas? porque todos andan como putas chismosas hablando del tiroteo.,1
y puta mañana ya vi la misma mierda de toda esta semana; el wey no durmió segun por mi culpa y me va tratar de la verga y,0
pechito pancita y verga peluda  que mas se puede pedir,0
ya ni en twitter te dejan mamar agusto pinche sociedad sensible y marica.,1
"un día va a llegar a mi vida alguien que me quiera aunque sea de la verga y no sólo porque ""estoy bonita"".",0
amaneci con un humor bien quien sabe como canto tonterias bailo... es como una loca desorganizada en un mundo ejecutivo. ¿me explique?,0
incluso tu brillas más que esas putas basuritas doradas que caen✨❤,0
ya podría ser actor porno con toda esta verga que te valgo :(,0
@usuario @usuario al chile a la raza ningún pinche chile les embona que se vayan a la verga compiese wey todavía ni agarra el avión y ya lo están reventando,1
existe un círculo del infierno reservado para los hdp que usan los baños de discapacitados sin tener ninguna discapacidad #tantitamadre,1
tengo la suficiente dignidad para mandarte a la verga para siempre. 😊,1
putos paraguayos metan gol que chile se vaya a la concha de su madre.,1
mi madre no tiene la culpa de mis errores si alguien tiene que pagar por un castigo voy a ser yo no ella.,0
"slp demostrando su cultura alguien oyo el ""eeeeh putos""? lleno a pesar del costo y gente civilizada eh? @usuario?",0
@usuario uno de tantos hijos de puta que ha tenido este país; en la actualidad seguimos teniendo varios y aparte sinicazos! ejemplo el hdp de duarte,1
me falta una madre para comprar operador esp/eng nueva actualizaicon de r6 a juntar para los operadores,0
me desperté tarde maneje tan rápido que pude haber muerto lo logré y llegué a mi clase y aún así el wey me sacó por qué sonó mi cel. hdp.,1
mis notas son la más marica que tengo en mi teléfono.,0
para los pendejos como @usuario estamos en cada rincón de venezuela para ti sapo de mierda tenemos unas sorpresas,1
¿de qué película loca hablan? ¿podrían compartirla conmigo? :),0
tu piel esta suave  tu piel esta caliente  y en tu verga dime que me siente.,0
hijo de puta !!! te cerró la boca messi es papá hijo de las mil putas,1
los machos alfa no andamos de putos haciéndoles el desayuno a nuestra hembra beta ella es nuestro desayuno..... desayuno de campeones.!!,0
te silencie porque la parte que más me gusta de tu fue la que me mandó a la verga.,0
ya lo sabemos que eres puñal no tienes que reafirmarlo,0
soy muy joto men le tengo miedo a los ratones y las ratas es lo unico que le tengo miedo en la vida  xd,0
aquí de pendeja mendigando tu atención porque pues me encanta hacerle a la mamada.,0
tú crees que estoy loca pues sí estoy loca de amor 😂,0
hdp póngase verga @usuario  y fichenlo ya que oddie se retira :v,1
desgraciado imbécil como se cogía a la gaviota en la novela ahora se cree un culo. por mi esta muerto este maricon.,0
me dijo:no me estoy yendo solo soy un fantasma de todo lo que nunca tendrás.maldita zorra.maldita zorra loca estaba locajoderlo estaba.👇🏼,0
¿frente ciudadano? yo veo putas banderas de partidos qué mal que sigan pervirtiendo las palabras,0
"si ya sabes que me cagan mis hermanastras para que putas me presumes sus ""logros"" si sabes que me vale verga",1
y me siguen llamando para quererme entregar: primera en la mañana segunda a las 12 y ahora a la 1... chingado que no! a las putas 2!!,0
dicen que #destiny2 luce (sin haberlo jugado) igual que el 1. no sé si esperaban dinosaurios la master sword a cloud o qué verga.,0
verga de pato y pensar que aquellas conclusiones eran ciertas,0
ahora q los agarro juntos chaspm ambos pinche par de putos 💪💪💪💪,1
me encanta lo odio me pone roja y luego lo quiero mandar a la chingada... ahh el amor ❤🙈,0
lo siento por decir muchas groserías pero me vale verga,0
@usuario y donde está ya deberian estarle haciendo lo mismo al desgraciado hdp,1
hay marcha lenta porque ya amaneció o qué putas? @usuario siempre salen con sus mamadas. si no pueden no roben y renuncien,1
chingo a mi madre me cae 🤦🏻‍♀️,0
las mujeres que dicen “wey” en todas sus putas oraciones me dan asco.,1
cc eres el más vale verga del salón y corriges al profesor,0
según muy pinché putito aguantador no más se la di a oler y se espanto.,0
hay hombres que dicen que las mujeres son todas putas sólo porque una no quiso serlo.,0
como hora de aventura no esté en cines y ttgo si me voy a cagar en los putos muertos de cn,0
"en mi pueblo no está tan difundidos los ideales feminazis por qué todo se arregla con un ""¡chinga tu madre pinche machorra!""",1
3ra parte con el morrito de ayer me chupa la verga.👦💙🔃 #cruising,0
@usuario @usuario no no presenta contratiempos su nula eficiencia es lo normal. hdp!,0
señora si en la puerta que usted está jalando dice empuje porque putas sigue jalando la pinche puerta alaverga me hizo pararme putamadre,0
dos putas horas parados en la carretera querétaro-méxico... en estos momentos envidio a todos los hombres del mundo.,0
mama luchona 💪🏻😎 #unetealafiesta #mevoyalinfierno 😈… <url>,0
ojala @usuario se vuelva a encontrar a @usuario para que le suelte otro putazo esta vez con e…,0
cuándo te enamoras es como cuando votas por el pri sabes que te va a cargar la verga pero ahí vas de pendejo.,0
"básicamente alegaba que las mujeres que dicen ""verga"" son vulgares. pero que no la consideraramos sexista por pensar eso.",0
hoy duermo por que duermo a pesar de mis putas preocupaciones de dinero aaaa como yo amo el tequila... anestesiarse por una noche y dormir,0
disfrutando de los obsequios de la madre tierra emientras escucho a @usuario .,0
wey buen pedo me balen berga todos que hago?  ?????,0
nunca imaginó que una noche loca terminaría de esta manera,0
que pedo con ed sheeran y sus putas canciones chingonas hermosas,0
"por un mega-error escuché parte de una canción de banda y decia ""demosle vuelo a la hilacha"" que putas madres 😂😂 #penaajena",0
"hoy es uno de esos días en los que me levanto y digo ""puta madre que horror mi cara""",0
y así hablan un par de putos calderonistas operadores del pri . les interesa que un tecnocrata les tape el negocio,1
feminicidios xq somos putas borrachas etc. pero pretender que nosotras no cometemos de…,0
@usuario @usuario @usuario jajajajajaja ese joto que va a saber de narcotrafico lo que es abrir la boca a lo idiota...,1
amo todo el mame que andan haciendo con la verga. digo con la v word,0
@usuario ya lo se 7n7 solo que le tengo rencor por varias cosas que me ah echo el hdp pero ya xd ya me vengue xd,1
