Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
masculino,59,nacional,Excelente,5,267,gran sitio historico,fue construida a finales del siglo xviii en el mexico virreinal su funcion era como almacen y tienda de comercio para los habitantes que acudian del campo a comprar o de las haciendas a vender sus productos,México,espanol,Móvil,2018-06-19
masculino,32,nacional,Excelente,5,61,excelente museo,parada obligatoria en tu visita a la ciudad de guanajuato lugar lleno de historia y apto para todas las edades,México,espanol,PC,2018-06-19
masculino,18,nacional,Muy bueno,4,50,presenciar el lugar de la tragedia,en este lugar se dio una de las batallas mas lamentables de la guerra de independencia dentro de la alhondiga se encontraban familias espanolas las las cuales murieron cruelmente a manos de los indios a cargo de hidalgo el pararse frente a este imponente monumento e imaginarse los rios de sangre de hombres y ninos que tuvieron una muerte cruel es en verdad desgarradorno vayas solamente a tomarte la foto observa y recrea estos hechos en tu mente para que asi te des cuenta de la importancia de este lugar y porque no debe de ser olvidado y claro tambien aqui se dio la famosa historia del pipila,México,espanol,PC,2018-06-05
femenino,30,internacional,Excelente,5,69,el corazon de la historia de mexico,maravilloso sitio muy grafico para aprender historia super didactico las salas muy bellas y organizadas el personal muy amable imperdible,Perú,espanol,PC,2018-06-03
femenino,25,nacional,Excelente,5,22,viaje divercultural,el termino alhondiga proviene del arabe y significa almacen o mercado de granos la alhondiga de granaditas es un lugar muy representativo del inicio de la lucha de independencia pues en este sitio tuvo lugar primera batalla insurgente y con ello el origen de la independencia fue en esta batalla donde ocurrio la hazana de juan jose de los reyes martinez el pipila un barretero de la mina de mellado quien a peticion de hidalgo se coloco una losa en la espalda para esquivar los ataques y consiguio hacer estallar la puerta de la alhondiga,México,espanol,PC,2018-05-29
femenino,34,internacional,Excelente,5,6,fortaleza,impresiona su construccion sus murales hay mucha informacion un gran espacio para aprender y un espacio para honrar a nuestros heroes,Argentina,espanol,PC,2018-05-21
masculino,42,nacional,Excelente,5,8,pura historia,me encanto el lugar muy bien dividido sus salas aunque para ser francos esperaban un poco mas acerca del heroe que va de la mano con este lugar o sea el pipila muy buen museo y muy interesante vayan vale la pena,México,espanol,Móvil,2018-05-12
masculino,55,internacional,Muy bueno,4,306,fascinating piece of history at the start of the struggle for indpendence,this building is not particularly famous for its late 18th century architecture although there are some fabulous gigantic murals up the central staircase but is rather important for a pivotal role it played in the first successful battle by insurgents fighting for the independence from f the kingdom of new granada insurgents won a critical battles which was followed by a massacre of almost entire spanish battalion but the bloody war continued for 11 years until it finally ended you are given a unique opportunity to lear about the history of mexico starting from artefacts form pre hispanic period a guided visit is warmly recommended,Colombia,ingles,PC,2018-05-08
masculino,44,internacional,Excelente,5,8,one of the most important buildings in mexico to learn about,great place to learn and see local murals and art before going be sure to learn about the buildings historical importance so you can get the most out of the murals,Canadá,ingles,PC,2018-04-30
femenino,31,nacional,Excelente,5,32,historias ineditas,mi visita en este increible lugar fue recorido por un guia local y dentro del museo por el personal que en este labora escuchar todo aquello que sucedio hace muchos anos hace que al estar en ese lugar sientas como si estuvieras en esa batalla al termino de este recorido me encanto que los ninos pudieran experimentar la elaboracion de manulidades de barro,México,espanol,PC,2018-04-27
femenino,28,nacional,Excelente,5,9,un museo muy bonito,me encanto porque contrario a lo que pense esta muy cuidado por dentro las salas tienen un folleto en carton grueso con la informacion de lo que muestran en cada una de sus salas para que nos documentemos mejor lo tomas al entrar a cada sala y lo depositas al salir las salas con los bustos de los heroes estan impresionantesademas de que esta escrito en cristal una pequena biografia de cada uno de ellos tres murales muy interesantes y los simbolos patrios en un salon espectacular hay que apartarse un tiempo para recorrerlo,México,espanol,Móvil,2018-04-22
masculino,23,nacional,Muy bueno,4,20,estaba cerrado,un lugar historico lamentablemente estaba cerrado hay que fijarse en la parte alta las 4 esquinas y en otras ocasiones que he entrado adentro hay cosas de maximiliano y carlota un escudo nacional en cantera,México,espanol,Móvil,2018-04-10
masculino,36,nacional,Excelente,5,19,museo hermoso,un lugar que por dentro te sorprende es costo no es gratis pero vale la pena a mi me gusto mucho y abajo de la calle pasa el bus turistico,México,espanol,Móvil,2018-04-08
femenino,49,nacional,Excelente,5,49,muy interesante,te recomiendo visitarla el domingo ya que la entrada es gratuita como siempre recomiendo ampliamente escuchar las explicaciones de los guias quienes nos ayudan a comprender mejor lo que ves y lo que sucedia en aquella epoca,México,espanol,Móvil,2018-04-05
femenino,52,internacional,Excelente,5,93,historia viva,por el valor historico es algo que no se puede perder para turistas tanto nacionales como internacionales es un punto turistico que vale la pena visitar y apreciar,Colombia,espanol,PC,2018-04-04
masculino,48,nacional,Excelente,5,38,para encontrarse con la historia,es un buen lugar para conocer y recordar la historia oficial de mexico muy bien cuidado con explicaciones detalladas de cada evento historico sin dudar lo volvere a visitar,México,espanol,PC,2018-04-03
femenino,33,nacional,Excelente,5,8,genial,muy bueno para conocer la historia los domingos la entrada es sin costo si andas en guanjuato debes de ir a conocer,México,espanol,Móvil,2018-04-01
femenino,41,internacional,Muy bueno,4,64,beautiful and historic,this place is very beautiful unfortunately we didnt see a guide until after we had explored the entire place for several hours but i would have preferred to learn a bit of the history no explanations definitely worth a visit,Inglaterra,ingles,Móvil,2018-03-30
femenino,39,nacional,Pésimo,1,117,no lo visiten los 19 de marzo cerrado,no es posible que el 19 de marzo lunes puente por el 21 de marzo este cerrado varias personas que estuvimos en este lugar como turistas nos retiremos por estar cerrado avisados estan no les importa el turismo deberia dejar una guardia,México,espanol,Móvil,2018-03-24
femenino,37,internacional,Excelente,5,47,if you speak spanish listen to talk given by one of the guides,one of the most emblematic buildings in mexican history the building is majestic the surroundings are charming and if you listen to talks youll learn a lot of historical and cultural facts,Estados Unidos,ingles,Móvil,2018-03-24
femenino,25,nacional,Excelente,5,17,hermoso museo,me gusto mucho el lugar esta lleno de historia lastima que no llevaba suficiente tiempo para recorrerlo con calma cada sala esta muy interesante,México,espanol,PC,2018-03-23
femenino,62,internacional,Excelente,5,55,excellent museum,we were kind of concerned about going to a museum with all the exhibit info presented in spanish but when we purchased our tickets we were given a stack of laminated info sheets in english describing the major points of all the exhibits the exhibits were very interesting and well presented covering the prehispanic period through the fight for mexicam independence,Canadá,ingles,Móvil,2018-03-22
masculino,37,nacional,Muy bueno,4,159,revive la historia,impresionante visitar la alhondiga y escuchar la historia en la que un minero el pipila incendio una de las puertas principales aun se aprecian los hoyos causados por las balas de quienes atacaron este granero,México,espanol,PC,2018-03-21
masculino,58,internacional,Excelente,5,238,time well spent,this museum is an excellent place to learn more about mexican history and culture precolumbian the silver trial the fight for independence a significant battle took place at this building and modern history housed in a beautiful building with a nice courtyard the museum offers cards with english explanations of the various rooms one of the showstoppers is a large mural by chavez morado from 1955 depicting among other things harm done to indigenous peoples by the colonialists i have seen similar murals by rivera in mexico city but here i was struck by how much earlier than canadians mexicans began to confront this aspect of their past we enjoyed looking at prehispanic artefacts especially a large collection of stamps used by indigenous peoples in the gto area moving into the 20th century we also enjoyed the photo portraits of local families by romualdo garcia very interesting another moving area is the memorial to hidalgo and the other fighters for independence whos heads were hung on the 4 corners of the building after they were captured and executed by the spanish i highly recommend a visit here while in guanajuato,Canadá,ingles,PC,2018-03-21
