Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
femenino,64,internacional,Muy bueno,4,175,punto central,basilica muy bien conservada punto central en la ciudad muy linda por dentro vale la pena darse una vuelta para conocer alto significado religioso y arquitectonico,Colombia,espanol,Móvil,2018-05-13
masculino,59,internacional,Excelente,5,306,the most important church in this colonial town full of history,the basilica guanajuato does not have a cathedral it is situated in the nearby city of leon is truly imposing both during the day and when illuminated at night it also has some lovely polychrome sculpture and a great organ,Colombia,ingles,PC,2018-05-08
femenino,26,internacional,Excelente,5,106,y uno de los simbolos de guanajuato,edificio de la iglesia amarilla es un abigarrado y nahu crear una mas bella de atocha he venido a cabo mejor en frente de la misma guanajuato es menor cuando se toman fotografias que gabolman menos una,Corea del Sur,coreano,PC,2018-05-05
masculino,50,internacional,Excelente,5,62,beautiful and a must see,a must see place in town and very nice to go inside and beautiful outside to take pics in the center of town,Estados Unidos,ingles,PC,2018-05-01
femenino,55,internacional,Regular,3,59,nice,not particularly impressive but if you like historic buildings of any type this is worth a walkin,Estados Unidos,ingles,PC,2018-04-29
femenino,57,internacional,Muy bueno,4,578,beautiful church especially at night,wandered into the church on a sunday evening during mass the lovely chandeliers were alit and looked beautiful the outside is also lighted at night and though not huge it certainly looms over the plaza,Estados Unidos,ingles,PC,2018-04-23
masculino,33,internacional,Excelente,5,112,beautiful inside and out,this is clearly the center piece of the city and its gorgeous go inside and enjoy the art if there is a mass going on please be respectful and avoid flash,Estados Unidos,ingles,Móvil,2018-04-18
masculino,64,internacional,Muy bueno,4,491,beautiful church town centerpiece,seems like on a visit to guanajuato you pass by or see this beautiful church wherever you go great view of the outside from down the street beautiful inside too pretty much a required stop in your visit to this city and for good reason,Estados Unidos,ingles,Móvil,2018-04-17
masculino,24,nacional,Excelente,5,37,hermoso lugar,muy pintoresco la basilica se ve desde el mirador tambien es una ciudad magnifica no se pierdan el elote asado en los carritos del costado,México,espanol,PC,2018-04-16
masculino,38,internacional,Excelente,5,58,coolest city in mexico,i was in irapuato on business and my colleague suggested we visit guanajuato i have to say this is the coolest city ive been to in all of mexico from the small european style streets to the underground tunnelstreets and sidewalk cafesand dont forget the beautiful architecture and theres an amazing vineyard camino d vinos just a few miles from town i hope to return on vacation with my wife,Estados Unidos,ingles,PC,2018-04-03
femenino,27,nacional,Excelente,5,13,muy bonita,el sitio por dentro esta realmente precioso nos toco una misa donde por suerte tocaron el organo y mejoro mucho la experiencia vale la pena visitar es de las iglesias mas bonitas que he visitado,México,espanol,Móvil,2018-03-29
masculino,51,internacional,Excelente,5,213,a fine piece of history,what a beautiful peaceful church it is centrally located and an easy walk from all locations walk into the church and feel the historical past sit and just enjoy the quietness of the building,Canadá,ingles,Móvil,2018-03-24
masculino,35,nacional,Excelente,5,159,excelente mantenimiento,es increible encontrar una basilica con siglos de antiguedad y con un mantenimiento impecable vale la pena visitarla sin duda,México,espanol,PC,2018-03-21
femenino,40,internacional,Excelente,5,11,hermosa ejemplo de nustra religion y cultura,hermosa arquitectura recuerdo de nuestros antepasados puedes orar a cualquier hora del dia y cuando estas ahi te siente lleno de paz y de noche con una vista hermosa en el centro de guanajuato,Estados Unidos,espanol,PC,2018-03-19
femenino,32,internacional,Excelente,5,15,magnifico monumento imposible,guanajuato y sus monumentos son una necesidad es hermoso todo es para ver se necesitan al menos 4 dias para ver todo a fondo,Francia,frances,PC,2018-03-19
masculino,71,internacional,Excelente,5,323,toprate for a cathedral,im not a big cathedral person and it is easy to tire of them in latin america like you get tired of wats temples but the yellow city cathedral of guanajuato is easy on the eyes from the outside in fact from the hill of pipila it jumps right out of the cityscape inside during the midday sunday mass the chandeliers were all lit up setting off the beautiful cream and yellow colors making the place all cheerful and lit up in contrast to so many of the usual dark interiors,Estados Unidos,ingles,Móvil,2018-03-18
masculino,25,internacional,Excelente,5,56,dont miss the virgin older than 1300 years,the basilica is highly visible from any vantage point in the town including the mirador the plaza is called the plaza de la paz the peace plaza and there is a plate that indicated the basilica and centre of town are unesco patrimony of humanity since 1957 of course the real treat is the interior of the church our lady of guanajuato is a sculpture of the virgen mary on the altar of this church and is the oldest virgin in the americas it was sculpted in andalucia and when invaded by the arabs in 714 the catholics hid the image in a humid cave for 8 centuries until 1557 when felipe ii made a gift of the virgen to the town of guanajuato because of the vast riches that the town had sent back to spain so that makes the virgin older than 1300 years and well worth a peek the virgin is about 115 meters in cedar and originally had a rose in one hand later a sceptre and a crown until a rose was replaced again the 8th of august is the festival of the virgin the mining expansion occurred throughout the 17th century and guanajuato was one of the grandest mines in all the americas the new spain in those days which explained why the king and his son made the gift to the town,Estados Unidos,ingles,PC,2018-03-16
masculino,20,nacional,Muy bueno,4,92,muy bonita,coloreando un punto imperdible del centro de la ciudad y con una arquitectura y un diseno muy maravillosos no deja de ser un templo y tal vez no resulte muy interesante si no gustan de la arquitectura o la historia,México,espanol,PC,2018-03-12
femenino,48,nacional,Muy bueno,4,22,una linda iglesia,una iglesia muy tradicional y muy bella como varias que hay en guanajuato muchos anos de antiguedad,México,espanol,Móvil,2018-03-09
masculino,36,internacional,Muy bueno,4,148,llamativo color amarillo catedral del siglo xvii un poco sosa decoracion de estilo griego o romano,guanajuato esta situado justo en el centro alto llamativo no importa en que direccion ir se puede utilizar como un objetivo y no perderse aspecto es hermoso color caqui y ladrillo rojo el interior de la iglesia era delicada blanco amarillo ganso estilo griego romano tambien se repiten decoracion del techo y murales pero son empujadas blanco simple geometrica en lugar de generales rococo espana se acompana de un gran numero de modelo del rizo apariencia dorada de lujo cada 15 minutos la campana pero el numero de bell es independiente del tiempo hay un monton de restaurantes tiendas de recuerdos es adecuado en las proximidades de los demas iglesia en el lado izquierdo de la carretera por la universidad de guanajuato hay una parada de autobus a la parada de autobus el coche puede estar aqui y asi sucesivamente,Taiwán,chino,PC,2018-03-07
masculino,26,internacional,Regular,3,2562,sin gracia,me esperaba mas para tener una reputacion de lugar historico pero la historia tiene muitoe para los religiosos que no es una perdida de tiempo,Brasil,portugues,Móvil,2018-03-01
masculino,41,internacional,Regular,3,214,iglesia famosa en guanajuato,es una famosa iglesia en guanajuato la noche es bella y se encienden en las inmediaciones de la universidad de guanajuato hay estudiantes japoneses ven lo que se recomienda quedarse,Japón,japones,Móvil,2018-02-24
masculino,63,internacional,Muy bueno,4,844,beautiful details,this basilica is one of the main catholic temples of the city is very large with many beautiful details at the interior you can appreciate lots of decoration at the ceilings and dome there is a very nice musical organ a recommended visit while in guanajuato to appreciate the architecture and religiosity of the city must see at night from the exterior and interior beautiful illumination,Guatemala,ingles,PC,2018-02-22
femenino,36,nacional,Muy bueno,4,83,hermosa estructura en pleno centro de la ciudad,en el corazon del centro de la ciudad hermosa basilica digna de unas buenas fotografias desde ahi se puede ir facilmente caminando a la mayoria de los lugares importantes del centro,México,espanol,PC,2018-02-21
femenino,69,internacional,Excelente,5,757,lovely,the basilica of our lady of guanajuato is magnificent it is worth your time to go inside for a visit there is no charge,Canadá,ingles,Móvil,2018-02-17
masculino,29,internacional,Excelente,5,93,beautiful must see in guanajuato,part of any walking tour in guanajuato well conserved totally worth it located just meters from the main square el jardin,Chile,ingles,Móvil,2018-02-15
femenino,33,internacional,Excelente,5,62,iglesia central,la iglesia es hermosa como todo el mundo dice pero lo que he encontrado un medio interesante es que esta en una plaza donde los mexicanos hacen eventos para la gente de la ciudad fue el dia 04 noviembre todavia estaban celebrando el dia de los muertos con una seleccion de catrinas musica orquestal canciones y bailes populares muy bueno,Italia,italiano,Móvil,2018-02-08
masculino,31,nacional,Excelente,5,51,hermosa arquitectura e interior,retablos y nave decorada candelabros al estilo barroco angeles por donde sea detalles en pinturas arte bien conservado,México,espanol,Móvil,2018-02-05
masculino,45,internacional,Regular,3,326,basilica in the centro,this is a location you will walk by while walking in the city every mexican city or town has a church due to the silver wealth of the city it is a basilica in the parochial style the church is filled with people during the day and it really is up to you and how you feel about visiting churches whether you want to stop inside or just observe the architecture from the exterior,Estados Unidos,ingles,PC,2018-01-29
femenino,32,internacional,Excelente,5,63,impresionante iglesia con colores vibrantes,iglesia en la plaza central de guanajuato con un color amarillo que se destaca en la calle el interior es impresionante con una decoracion que nos deja deslumbrados techos altos pintados y lamparas de cristal reluciente lleno de luz donde la mayoria de las mujeres eligen para casarse por lo que lo mas probable es ir alli y ver a una novia para casarse y se sorprendera,Portugal,portugues,Móvil,2018-01-28
masculino,49,internacional,Muy bueno,4,3280,central y amarillo,la gran arquitectura religiosa en el centro de la ciudad con vistas a la plaza de la paz muy bonito por la noche cuando esta iluminado con luces blancas el suntuoso interior no es particularmente memorable obras si no el magnifico organo para visitar absolutamente,Italia,italiano,PC,2018-01-25
femenino,34,nacional,Muy bueno,4,16,lindo lugar,la iglesia es bonita y tiene los restos de una martir interesante leer su historia y saber por que estan ahi,México,espanol,Móvil,2018-01-22
masculino,20,nacional,Excelente,5,11,inicio turistico,al llegar a la basilicapuedes decidir irte hacia el mercado o hacia el teatro o puedes detener a desayunar o tomar alguna bebida enfrente ya que tien 2 restaurantes en la calledonde se disfruta el andar de las personas que disfrutan guanajuatocaminando y el templo de dia luce por su majestuosidad y localizacionaunque no lo recominedo para personas que tengan problemas de caminar o de carreolasporque hay que subir bastantes escalones pero ya dentro tien una presentacion digna de un palacio espiritual ademas que tiene una gran historia de la sociedad guanajuatense y de la historia de la ciudad,México,espanol,PC,2018-01-22
masculino,51,internacional,Regular,3,521,its a church what can you say,every town of any size in mexico seems to have a parochial style of church some are better like san miguel de allendes some not as good like dolores hidalgos this follows the formula if youre into churches particularly of this architectural style then its worth a visit otherwise id give it a miss look at it from the outside or from up at the pipila viewpoint but its not worth going inside,España,ingles,PC,2018-01-14
masculino,30,internacional,Muy bueno,4,22,beautiful church,this church is beautiful from the outside and the inside it is very recommended to pass by for a few minutes and take some pictures,Egipto,ingles,Móvil,2018-01-13
masculino,25,internacional,Regular,3,56,las atracciones del centro de visita obligada,iglesia en el centro de la ciudad siempre y cuando este en guanajuato que pasara a traves de esta iglesia iglesia de puertas abiertas gratuita fui a solo tienen algunos rituales durante el dia en el exterior se puede tomar muy buenas fotos,Taiwán,chino,PC,2018-01-10
femenino,22,nacional,Muy bueno,4,17,hermosa,es el templo mas importante de guanajuato y es un lugar turistico hermoso que todo aquel que vaya a esta ciudad debe conocer,México,espanol,PC,2018-01-08
