Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
femenino,43,internacional,Excelente,5,34,un gran lugar para tomar fotos memorables,la ubicacion aqui es perfecta para tomar fotos el equipo se mueve muy rapido por lo que no tiene que sentirse desanimado por la cola tienen un fotografo que toma fotos con una camara profesional por una tarifa pero tambien puede tomar fotos con su propia camara o telefono movil si estas en guanajuato este es uno de los lugares que debes visitar,Camboya,chino,PC,2018-06-24
femenino,41,internacional,Excelente,5,34,great spot for an unforgettable photo,great location for a photo lines move quickly so dont get discouraged by the line they have photographer that will take your photo with a professional camera for a fee but you can also have someone take a photo with your own camera or cell phone one of those sites that is a must if you are ever in guanajuato,Estados Unidos,ingles,PC,2018-06-24
femenino,64,internacional,Excelente,5,83,donde guanajuato debes ir,por lo general los edificios estan muy cerca pero es especial porque los balcones a ambos lados de la acera se tocan entre si es muy bueno tomar fotos en este callejon los colores son muy coloridos de pie en los escalones rojos no hay turistas si se pierde un grupo de turistas que pueden ayudarlo a tomar fotos habra otras personas si es pareja amantes puedes pedirle a otros turistas que te ayuden a tomar fotos,China,chino,PC,2018-06-18
femenino,59,internacional,Excelente,5,83,a must do when in guanjuato,usually buildings are close together but this one in unique as the balcony touches each other across the walkway very photographic lovely colours stand on the red step no many tourist if you miss a tour group but someone will arrive and if you are a couple you can ask them to take a pic,Canadá,ingles,PC,2018-06-18
masculino,49,nacional,Muy bueno,4,25,vuelve a enamorarte,viajar con tu pareja significa en si un acto de amor compartir disfrutar y admirar conlleva ya la experiencia de vivir un momento unico y es justo eso lo que aporta la visita al callejon del beso un lugar super emblematico en guanajuato visitar este lugar reafirma el compromiso simbolico con tu pareja y la esperanza de lo que esperan para el futuro por supuesto el beso en el tercer escalon y la selfie es mas que obligado existe la posibilidad de subir al balcon para tomarse una foto y el costo del acceso es de 20 pesos pero si la fila es larga sugiero no perder el tiempo formandose y mejor invertirlo en seguir subiendo por los callejones del venado calixto y la subida de san miguel para disfrutar de la mejor panoramica de la ciudad desde el monumento al pipila la subida es bastante pesada y hasta puedes jugar a ver quien tiene la peor condicion pero la recompensa de pasarla juntos en el mirador de verdad vale la pena,México,espanol,PC,2018-06-18
femenino,23,nacional,Regular,3,102,largas filas de espera para la fotografia,este lugar icono de guanajuato lo puedes visitar de dos formas por tu cuenta o mejor aun si contratas la callejoneda por la noche acompanado de las estudiantinas te narran la historia de una forma divertida escenificada por los mismos turistas como tomarse la foto si acudes en la tarde o en la noche durante las callejonadas encontraras filas de mas de 30 minutos de espera tomando en cuenta que la gente vive de noche en guanajuato hay personas lugarenas que te cobran 200 pesos por la foto lo mejor es acudir en la manana temprano mientras los demas duermen encontraras solo el lugar sin filas y con mucha luz para unas buenas fotografias con tu camara,México,espanol,Móvil,2018-05-30
masculino,63,internacional,Muy bueno,4,108,un buen lugar para besar a tu otra mitad,es solo un callejon en muchos callejones pero la historia es linda parese debajo del letrero de la calle 10 pies arriba del edificio de la esquina y cuando bese a su otra mitad debajo del letrero permita que otro visitante tome una fotografia,Estados Unidos,chino,Móvil,2018-05-29
masculino,58,internacional,Muy bueno,4,108,good place to kiss your so,its just an alley in a town of alleys but the story is cute stand beneath the street sign that is 10 feet up on the corner building and have another tourist take a pic of you beneath the sign as kiss your significant other,Estados Unidos,ingles,Móvil,2018-05-29
masculino,38,nacional,Excelente,5,38,romance al alcance de la mano,el hecho de caminar por guanajuato es evocar los tiempos en que mexico era romanticismo puro y uno de esos lugares en que el amor lleno a plenitud esta ciudad es el callejon de beso a una cuadra de la plaza de los angeles encontraras este callejon con la peculiaridad de la cercania de sus balcones y la historia que la gente de la ciudad sin dudarlo querra contartela por unas monedas no te lo pierdas permite que te la cuenten y contagiate del romanticismo y la comicidad que le agregan a su relato entra a la casa donde podras estar justo en el balcon donde los hechos sucedieron y claro si llevas pareja no olvides darte un beso en el tercer escalon y asi tendras 7 anos de buena suerte y un motivo mas para regresar a esta espectacular y luminosa ciudad,México,espanol,PC,2018-05-29
femenino,19,nacional,Excelente,5,22,que romantico,el callejon del beso es un hermoso lugar cuando dos enamorados pasan por el callejon del beso deben besarse en el tercer escalon para que su amor perdure por siempre es la ultima parada si se realiza la famosa callejoneada en la que te cuentan leyendas con la tradicional estudiantina al calor de las risas y la compania,México,espanol,PC,2018-05-29
masculino,38,internacional,Muy bueno,4,1,lugar emblematico y mas acompanado de tu pareja,sin embargo ya no se puede disfrutar de una foto con tiempo pues te apresuran para que avances y los demas puedan pasar se entiende el comercio de poder capturar mas clientes comprando una foto pero tambien queremos disfrutar mas de cada momento,Colombia,espanol,PC,2018-05-24
femenino,57,internacional,Muy bueno,4,586,lovely spot bittersweet story,we actually heard a different story than the ones the books tell us but nevertheless a tragic one good for a quick look a few pics and for romanticswelll go for it some say it brings good luck,Estados Unidos,ingles,PC,2018-05-23
masculino,39,nacional,Excelente,5,33,iconico lugar de la ciudad,un lugar al que no debes de faltar al visitar guanajuato excelente manera de terminar el tradicional recorrido de las callejoneadas,México,espanol,PC,2018-05-22
masculino,25,nacional,Excelente,5,18,gran lugar y grande su leyenda,muy bonito lugar pero sobre todo tienes que ir a las callejoneadas para ir te cuenten la leyenda con detalle y te impresione mas el lugar,México,espanol,Móvil,2018-05-22
masculino,43,internacional,Excelente,5,140,el beso,pues bueno el sitio de beso romantico lugar escondido en el corazon de la ciudad no lo puede pasar por alto especialmente si vas en pareja,Nueva Zelanda,espanol,Móvil,2018-05-21
masculino,20,internacional,Excelente,5,7,beso,every interesting love history locals tell you about and you kiss your love one for eternity love very romantic,Estados Unidos,ingles,PC,2018-05-20
masculino,36,internacional,Excelente,5,3,bello lugar e interesante historia,bonito lugar llegar lo mas temprano posible para evitar el aglutinamiento de turistas que quieren una foto seria el unico aviso y llevar algo de dinero si quieres foto se paga por entrar a cada balcon,Perú,espanol,PC,2018-05-15
masculino,55,internacional,Pésimo,1,1031,mas que una masa de turistas,guanajuato es una ciudad muy interesante pero tiene varios puntos turisticos uno de ellos el callejon del beso donde no hay que ver excepto muchos turistas,Brasil,portugues,PC,2018-05-14
masculino,42,internacional,Regular,3,178,romantico,no cuesta nada ir esta cerca del centro y es un lindo lugar para tomar unas fotografias de recuerdo indispensable,Argentina,espanol,Móvil,2018-05-14
femenino,32,nacional,Muy bueno,4,3,callejon del beso,el callejon del beso es uno de los lugares mas visitados por los turistas que vienen a la hermosa ciudad de guanajuato ahi se cuenta una leyenda que ya se ha hecho famosa a quien guste de admirar la arquitectura colonial no deje de conocer el centro historico y este callejon,México,espanol,Móvil,2018-05-14
masculino,41,internacional,Muy bueno,4,8,obligatorio,ir a guanajuato y no ir al callejon del beso es como ir a paris y no visitar la torre eiffel guardando las distancias claro esta es un lugar obligado por la cultura popular local y punto de encuentro de turistas saca la foto del recuerdo,Perú,espanol,Móvil,2018-05-11
masculino,61,internacional,Excelente,5,62,so cute,go and ask the locals about the storywalk with someone and steal a kissa great place to take pics,Estados Unidos,ingles,PC,2018-05-01
femenino,27,nacional,Excelente,5,29,nos dimos el beso,las callejoneadas son lo mas divertido los chicos son muy buenos en el servicio y entretenimiento para turistas locales nacionales y extranjeros,México,espanol,PC,2018-04-30
masculino,62,internacional,Excelente,5,119,kissing,we followed a tour group when they stopped at this street once we heard the story about the kissing alley we kissed,Estados Unidos,ingles,Móvil,2018-04-27
femenino,34,internacional,Muy bueno,4,32,un lugar muy pintoresco,si van a guanajuato sin duda el callejon del beso es una de las historias que no te podras perder estaras rodeado de un pueblo lleno de tradiciones y mejor aun si esta visita la puedes realizar con una persona especial tendras la oportunidad de realizar esta bonita tradicion,Argentina,espanol,PC,2018-04-27
femenino,48,internacional,Excelente,5,54,famous kiss alley,you will see the famous kiss alley by all he people gathered around taking photos the two houses are only a few feet apart and the story says they could kiss each other from the balconies stop for a photo opp,Estados Unidos,ingles,Móvil,2018-04-26
masculino,28,internacional,Muy bueno,4,17,bonito,me parece un lugar bonito y la historia que cuentan es buena siempre lleven a una pareja para dar el tradicional beso,Panamá,espanol,Móvil,2018-04-21
masculino,39,internacional,Excelente,5,133,bueno pero hay demasiadas personas,sugiero que vaya temprano y llegue a la multitud ya sabes este es un callejon de 34 cm de ancho pero hay cientos de personas que quieren tomar fotos alli este callejon esta muy cerca de la zona centro la proxima vez traere algo de vino tinto a la plaza central que esta a solo un paso de aqui,Estados Unidos,chino,Móvil,2018-04-18
masculino,39,internacional,Excelente,5,133,nice but crowded,i would suggest you to be here early before the crowds have in mind that its a 34 centimeter alley and there are hundreds of tourists trying to take a picture therethe alley is located walking distance from the main plaza next time i will bring some wine and enjoy it at the plaza a few steps away,Estados Unidos,ingles,Móvil,2018-04-18
masculino,33,nacional,Excelente,5,134,darte un beso con tu pareja es toda una tradicion,toda pareja debe visitar este callejon y darse un beso es romantica la historia y tambien el inicio de la historia que se forma en ese lugar la mayoria de las callejoneadas termina aqui asi que es mejor que regreses mas tarde para que tengan la oportunidad de darse un beso sin gente alrededor,México,espanol,PC,2018-04-17
femenino,65,internacional,Muy bueno,4,72,crowded,its a cute little callejon arrive early if you want to capture a photo otherwise youll be waiting endlessly for your turn,Estados Unidos,ingles,PC,2018-04-16
masculino,30,internacional,Regular,3,37,divertido pero nada del otro mundo,es pintorezco ir por los callejones de guanajuato este precisamente no es el mas bonito pero no deja de ser pintorezco lo divertido es que sea un lugar especial y con historia,España,espanol,PC,2018-04-16
masculino,62,internacional,Regular,3,505,obligatory drop by while in guanajuato,so perhaps the most and certainly among the most touristy drop by places in this lovely city free photo op from the street or pay a small charge to get a photo with your significant other from the terracebalcony window,Estados Unidos,ingles,Móvil,2018-04-15
femenino,63,internacional,Excelente,5,246,spring break vacay,this place is a must visit is an iconic part of gto the story is interesting very close to downtown walking distance from jardin union beautiful with the tradition to kiss your significant other on the 3rd step for good luck of the relationship,Estados Unidos,ingles,Móvil,2018-04-11
masculino,45,internacional,Excelente,5,24,imperdible,un lugar que no puede dejar de visitarse ya sea solo o en pareja es un lugar magico hay que llegar y hacer fila pero muy bien vale la pena,Argentina,espanol,Móvil,2018-04-10
femenino,33,nacional,Muy bueno,4,9,un must,si estas en guanajuato tienes que venir al callejon para tomarte una foto en los balcones a te cobran 20 pesos pero vale la pena,México,espanol,PC,2018-04-04
masculino,49,nacional,Regular,3,44,es tradicional pero,desafortunadamente lo comercial invadio y se adueno del lugar se hace fila para poder tomarse la foto hay muchos que te cuentan la leyenda por dinero que en si no tiene nada de malo pero se vuelve molesto que te insistan en fin no veo como pudiera mejorarse asi que para aquellos que es forzoso ir a los lugares de tradicion en sus viajes lo unico que les puedo recomendar para este lugar es que se armen con bastante paciencia,México,espanol,PC,2018-04-03
masculino,51,internacional,Regular,3,49,no merece la pena,hay que esperar una larga cola para estar en un callejon que aparte de la leyenda poco mas tiene hay muchos rincones mas bonitos en guanajuato con menos gente,Perú,espanol,Móvil,2018-03-31
masculino,52,internacional,Excelente,5,15,tradicion,negociazo dicta la tradicion que hay que visitar este lugar para que cuente la visita a guanajuato mucha gente mucha basura y dinero de por medio pero se disfruta se disfruta muchisimo,Panamá,espanol,Móvil,2018-03-31
femenino,33,nacional,Regular,3,31,guias falsos y muy lleno,esta atascado con fila de minimo una hora solo para la foto y esta lleno de guias falsos que solo son personas que te cuentan una leyenda para estarte cobrando dinero solo por escuchar aunque estes ahi junto si quieren conocerlo recomiendo ir muy temprano tomar la foto y retirarse ya que es pequeno el sitio y se llena muy rapido,México,espanol,Móvil,2018-03-29
femenino,64,internacional,Regular,3,323,interesting attraction,you can have a picture taken of the two of you leaning over balconies on opposite sides of the narrow alley to kiss,Canadá,ingles,Móvil,2018-03-28
masculino,39,internacional,Malo,2,373,super crowded,small alley full of people and a balcony where people take pictures its a tourist attraction but only for those who enjoy queuing to take a shot and say been there done that,Estados Unidos,ingles,Móvil,2018-03-25
femenino,51,internacional,Excelente,5,47,you can outsmart the crowd,this can become a tourist trap as everyone wants a picture kissing their sweetheart you can find a path around it and instead of going up go down if you want to go up youll have to wait in line while everyone is taking pictures,Estados Unidos,ingles,Móvil,2018-03-25
femenino,42,internacional,Excelente,5,36,linda historia,la guia cuenta una bonita historia sobre estas escaleras deberia participar en visitas turisticas a la ciudad segun la historia uno deberia besar al companero en las escaleras la asociacion deberia traer otros 15 anos de suerte,Alemania,aleman,Móvil,2018-03-21
masculino,42,nacional,Muy bueno,4,159,una leyenda,vale la pena contratar a un guia que te de la explicacion de la leyenda de este callejon y por supuesto cerrar la visita con un beso en el tercer escalon,México,espanol,PC,2018-03-21
femenino,47,internacional,Regular,3,15,el beso,a menudo lleno de gente estrecho pero hiper turistico y de dificil acceso por lo que la gente se aglomera para ver a los turistas besarse la historia es linda pero bueno no es esencial me decepciono,Francia,frances,PC,2018-03-19
femenino,40,internacional,Regular,3,13,bueno,no era lo que yo esperaba estaba muy lleno fuimos en la noche no pudimos admirar pero estaba maltratado y es mas comercial que historico,Estados Unidos,espanol,PC,2018-03-19
