Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
femenino,25,internacional,Muy bueno,4,20,diego was talented at portraiture,interesting small museum the downstairs is the house that he was born in complete with turnofthe century decor and furnishings upstairs there are galleries of his mostly early career paintings many impressionism postimpressionism and cubist works i found the portraits most compelling,Estados Unidos,ingles,PC,2016-05-22
femenino,27,internacional,Muy bueno,4,91,hermoso museo,ubicado en la zona turistica la casa donde el famoso pintor vivio una etapa de su infancia cuenta con replicas de los muebles que en su epoca estuvieron acomodados en cada habitacion pinturas originales una de las mas destacadas la que realizo a los 11 anos que fue la que lo coloco con los grandes maestros en europa vale la pena realizar un recorrido con guia,Argentina,espanol,Móvil,2016-05-21
femenino,25,nacional,Muy bueno,4,22,visita divercultural,la exposicion de obras de diego rivera es muy buena que es el atractivo principal del museo sin embargo las exposiciones temporales de otros artistas en las salas contiguas tambien son una buena opcion,México,espanol,PC,2016-05-20
masculino,34,internacional,Excelente,5,306,a great place to pay homage to the great painter and celebrated son of guanajuato,diego rivera was born in guanajuato and his family decided in late 20th century to turn it into a museum there are not too many paintings of rivera himself most are in mexico city but there r are always visiting exhibitions by famous mexican contemporary painters what you did get is a glimpse of how rivera family lived in comfortable surroundings in 19th century and the museum is full of period furniturethe interesting thing is that the museum was almost empty whilst you cannot enter into his equally celebrated spouses frida kahlo museum in mexico city without queuing up to four hoursit is not just her fabulous paintings but also the memorable role by selma hayek in the movie which made her an even greater icon,Colombia,ingles,PC,2016-05-19
masculino,60,internacional,Muy bueno,4,221,deeper insight into the artist plus other high quality art on display,if you are interested in the man and his historical relationship with mexico and the communist movement this is a must see his early work and description of his upbringing will help you to understand his education and talents the lower floors are furnished in a manner that was very much the way he lived during his brief stay here you will need to climb 3 flights of stairs to see it all but the upper floors have rotating exhibitions of very fine artists and is worth the effort the museum shows his early work along with many sketches dealing with communist and cubist influences,Estados Unidos,ingles,PC,2016-05-18
masculino,36,internacional,Excelente,5,8,great mixture of historic and contemporary mexican art,with a new section they just added this museum offers a full spectrum of art from the life and works of iconic mexican painter diego rivera to the works of contemporary mexican artists two of the spaces have rotating exhibitions,Canadá,ingles,PC,2016-05-17
masculino,32,nacional,Excelente,5,112,hidden gem,this museum is walking distance from the city center and its a real hidden gem 3 floors full of art of one of mexicos most important artist the collection is owned by diegos grand daughter and i highly recommend visiting price is really cheap,México,ingles,Móvil,2016-05-16
masculino,30,internacional,Regular,3,21,nothing special for me,didnt know too much about diego going in ive seen the frida movie and seen his face on the 500 peso note and thats all i know it was a cute little art gallerymuseum it could have had a bit more about diego himself so people like myself could learn more about the man it also had parts with art work from other artists but no explanations of who they were in english but thats my fault for not knowing spanish anyway mate if you have some time to spare i guess its a nice little thing to do but i wouldnt go out of your way unless youre a big diego fan,Estados Unidos,ingles,Móvil,2016-05-15
femenino,63,internacional,Muy bueno,4,39,me hice mas consciente de diego rivera,desde el precio accesible de 25 pesos para ver o saber que solamente entre famosos murales del esposo de rivera frida kahlo yo solo pense en ver la misma figura comica de diego rivera el trabajo de rivera no es mucho incluso habia visto fotos de otros artistas la descripcion esta bien en ingles,Corea del Sur,coreano,Móvil,2016-05-14
masculino,52,nacional,Excelente,5,10,exposicion temporal,es un excelente museo con las cosas donde nacio diego rivera es una seccion del museo las otras son exposiciones temporales muy bien distribuidas y disenadas en su museografia vale la pena visitarlo cuenta con talleres infantiles y una libreria,México,espanol,Móvil,2016-05-13
masculino,22,internacional,Excelente,5,76,we love diego rivera so we loved this place,small most of the art is from when he was young but you get to see the whole house so it gives a sense of middle class life in guanajuanto assuming you share our art tases a must see,Estados Unidos,ingles,PC,2016-05-12
masculino,75,internacional,Excelente,5,271,some great art by jose parra and others,this is not a museum with rivera art it was his boyhood home and that is interesting but theres a lot of great art on the walls also there is a audiovisual guide to one of riveras famous murals which is not in the house that i really enjoyed,Nicaragua,ingles,PC,2016-05-11
masculino,35,nacional,Excelente,5,38,cultura a la carta,entrar a la casa diego rivera es transportarse en el tiempo es imaginar escenas crear momentos en la mente ver a diego en cada rincon es llenarte de la cultura misma de grandes pintores cada pasillo te conduce a una nueva sorpresa cada recamara a un mundo que te hara ver la vida desde otra perspectiva altamente recomendable para quien gusta del dibujo la pintura y el muralismo cuando viajes a guanajuato desviate unas cuadras y camina por la calle positos entre la universidad y la alhondiga encontraras esta bella casa restaurada donde ademas del costo accesible veras trabajos de grandes artistas y saldras con un grato sabor de vista,México,espanol,PC,2016-05-10
femenino,53,internacional,Excelente,5,138,not a must visit site but a quick stop to learn about diego,we ate lunch at san angel inn which is next door so we decided to stop here afterward it was a saturday afternoon and there was about a 5 minute wait to enter diegos home admission was 35 pesos per person we spent about 45 minutes touring the homes of diego rivera frida kahlo and juan ogormon the complex doesnt have much of diegos famous artwork on display there are some small figurines and paper mache pieces on display in his studio when we visited there was an exhibit about diegos involvement in the ussr and included his photos and sketches from his visit with the soviets i thought it was interesting history note most information is in spanish but there are a few english signs summarizing the history i wouldnt go out of my way to visit this place but if you are in the area definitely stop by,Estados Unidos,ingles,Móvil,2016-05-09
femenino,57,nacional,Pésimo,1,8,la chica de recepcion,llegamos 15 minutos antes de cerrar y la chica de la entrada muy grosera no nos permitio entrar diciendo que ella sale a las 230 pesimo servicio,México,espanol,Móvil,2016-05-08
masculino,64,internacional,Regular,3,236,not bad but not very memorable,as with most museums in mexico the cost of admission is very affordable so i will not complain that i did not get my moneys worth but i did not get much out of this experience if i hadnt seen rivera murals in a number of locations in mexico city visited fridas casa azul and seen the movie frida i am not sure i would have come out of this museum with an appreciation or understanding of riveras work maybe our mistake was that we did not have a spanish guide to help us interpret what we were seeing but in general the focus seemed to be more on a historic house than on riveras life and work by all means if you are walking by drop in it will take less than an hour but there are much better attractions in guanajuato actually the city itself is a beautiful work of art including the alhondiga de granaditas then in cdmx visit the national palace palacio de bellas artes and casa azul for more rivera,Canadá,ingles,PC,2016-05-07
femenino,26,nacional,Excelente,5,13,muy interesante la historia y la expo temporal,me sorprendio la historia de esta casa ya que son datos que en lo personal desconocia sobre diego rivera hay varios bocetos originales de el en lo personal lo que mas me gusto fue la exposicion temporal que tenian de jose parra pintor de las fotografias,México,espanol,Móvil,2016-05-06
femenino,44,nacional,Excelente,5,47,worth it,if youre lucky enough youll get to hear a lot of history from one of the guides you get to see some obscure work by rivera and a taste of how the house looked like when he was born theres also another exhibit hall with works by other famous painters photos are not allowed,México,ingles,Móvil,2016-05-05
femenino,37,nacional,Malo,2,117,cerrado el 19 de marzo,otra visita a este lugar y cerrado por el 19 marzo lunes por el puente del 21 de marzo turistas no importan muy mal,México,espanol,Móvil,2016-05-04
masculino,69,internacional,Regular,3,51,tour of his home,not what i expected as there is very little of his art on display here and you cannot take pictures of the better examples i found it a bit boring to be honest,Canadá,ingles,PC,2016-05-03
femenino,28,internacional,Excelente,5,15,obligatorio,hermoso lugar adaptado a la modernidad pero sin dejar atras su historia y su hermosa casona el museo tiene 3 apartados en la planta baja es una sala en la que se presentan obras de diversos artistas se muestran articulos originales que pertenecieron a la familia del famoso muralista y lo mas importante la presentacion de sus obras originales como bocetos y mas definitivamente tienen que visitarla,Chile,espanol,PC,2016-05-02
femenino,62,internacional,Malo,2,55,disappointing,we went expecting to see a comprehensive selection of riveras work it was primarily sketches and work from his formative years but not of his nature works for which he is famous,Estados Unidos,ingles,Móvil,2016-05-01
femenino,37,internacional,Muy bueno,4,87,worth visiting,i loved the amazing building where he spent the first 6 years of his life more artwork wouldve been good but even the house worth a visit,Inglaterra,ingles,PC,2016-04-30
masculino,40,internacional,Regular,3,56,worth a visit,the entry fee is very affordable cheap so you are taking little risk it apparently is the place where diego spent the first 6 years of his life but you really dont see anything personal about that there are a few floors of his works but mostly smaller pieces and none of his murals if you are pressed for time i would pass on this if you have the time stop in,Estados Unidos,ingles,PC,2016-04-29
masculino,33,internacional,Muy bueno,4,80,spring break,this was my first time here interesting art work some of which is his work didnt pay too much attention to the other artists work great layout of the house just wished they gave more information on diego riveras work,Estados Unidos,ingles,Móvil,2016-04-28
masculino,43,internacional,Excelente,5,74,excellent replication of early living and art work,great museum and replica pieces of early home of rivera kudos to the family of diego rivera to offer this wonderful museum and pieces of art work rivera was the real deal for spanish artists encompassing several periods of art,Estados Unidos,ingles,PC,2016-04-27
femenino,31,nacional,Excelente,5,22,casa diego rivera,estan muebles de la epoca pinturas del artista es un edifico de 3 nivel donde recorres parate de la historia de el,México,espanol,Móvil,2016-04-26
femenino,54,internacional,Regular,3,33,somewhat interesting but not high on my list of have to go to it,i enjoyed my visit but there are several other museums in guanajuato i would visit first i found the flow of the museum a bit disconcerting and many of the pieces underwhelming,Estados Unidos,ingles,PC,2016-04-25
femenino,29,internacional,Muy bueno,4,16,not flashy just plain good,my friend and i both artists loved this quiet house museum just down the road from the university in old guanajuato for those that like time travel you will enjoy getting a feel for the childhood of mexicos most successful early 20th century artistfirebrand this is not a spot for famous paintings but very nice drawings including some from student days,Estados Unidos,ingles,Móvil,2016-04-23
femenino,61,internacional,Muy bueno,4,62,hello mr diego,great museum and gallery definitely a must see we spent a couple of hours and having english signage added to our experience,Canadá,ingles,Móvil,2016-04-22
masculino,68,internacional,Muy bueno,4,104,worthwhile visit,on a busy saturday this was a bit of a haven from the crowded streets a bit off the beaten track for mxp25 one gets to visit the birthplace of diego rivera it is an interested home but the highlight is early works by rivera david siqueiros and orozco 3 of mexicos most renowned muralists,Canadá,ingles,Móvil,2016-04-21
femenino,51,internacional,Muy bueno,4,844,a must visit,this was one of the first places i visited during my trip to guanajuato it was one of the best experiences i had i loved how they represent and show the furniture in each room this was the house where the famous painter was born the whole three story house is very well mantained you can not miss a visit to this attraction when you travel to guanajuato fee for entrance us300,Guatemala,ingles,PC,2016-04-20
femenino,36,nacional,Muy bueno,4,83,visita obligada al museo de diego rivera,es la casa donde nacio diego rivera con algunas obras autenticas bocetos y dibujos de diego de siqueiros y algunas otras obras de otros artistas de la epoca,México,espanol,PC,2016-04-19
masculino,58,internacional,Regular,3,93,missed opportunity,very nice building where diego rivera was born 3 or 4 floors with exhibitions and on the top you can listen an audio from a famous picture my kids were bored and the museum missed an opportunity to offer better explanation from the good exhibition they offer,Chile,ingles,Móvil,2016-04-17
masculino,69,internacional,Muy bueno,4,361,interesting configuration of the building,there is an elevator in a remodeled old building not a large museum but interesting and worth a visit maybe an hour should do it,Estados Unidos,ingles,PC,2016-04-16
femenino,38,nacional,Muy bueno,4,34,parada obligada,la casa donde se crio el guanajuatense mas famoso diego rivera bien mantenida con exposicion permamente de autores de la zona parada obligada,México,espanol,PC,2016-04-15
masculino,45,nacional,Regular,3,78,you wont see his work that much,it costs 25 pesos so which is cheap for that cost i think this is acceptable even though there is not so many his works,México,ingles,PC,2016-04-14
femenino,70,internacional,Regular,3,1895,wouldnt rush back,was disappointed in that there was very little of riveras artwork and no examples of his murals here it was more a historical review of his life and a recreation of his childhood home interesting but not a must see,Estados Unidos,ingles,PC,2016-04-13
masculino,38,nacional,Muy bueno,4,36,great diego for starters,very well maintained clean well directed at first it can be confusing which way to go but youll find your way around please read the history notes to find the meaning of each room downsides are that only the first floor is historical recreations the remaining floors are more educational briefings and art galleries should have more copies of diegos work and pictures of his early work most documented frames are from childhood and old age barely anything from his real moments in history as a controversial painter with frida,México,ingles,Móvil,2016-04-12
femenino,46,internacional,Regular,3,332,only for diego rivera addicts,first this is a recreation of the home that diego rivera lived in when he was a childthere is a courtyard and a new building the first floor contains paintings by diego when he was a young child these are very realistic and are traditional subjects while well executed there is no glimpse of the future muralists the majority of the art is not that of diego rivera and frida kahlo never visited this childhood city if you have a morning it is interesting to see the first floor paintings but i think this are really for fans of his work or art history majors the entire museum takes about an hour to go through,Estados Unidos,ingles,PC,2016-04-11
masculino,42,nacional,Muy bueno,4,78,muy completo y con diversidad en sus exposiciones,disfrutamos mucho recorrer este museo y nos gusto mucho su contenido y exposiciones muy completo variado e interesante ademas el inmueble es en si algo para visitar,México,espanol,PC,2016-04-10
masculino,32,internacional,Regular,3,127,interesting but disappointing,i enjoyed my visit and diego riveras life story is compelling however i was disappointed by the limited amount of art by diego rivera that the museum held which is what i went there to see there was more art by other artists,Estados Unidos,ingles,Móvil,2016-04-09
femenino,41,nacional,Excelente,5,24,muy recomendable,es muy bonita la casa y se exponen algunas obras muy buenas que te invitan a conocer mas en profundidad al artista,México,espanol,Móvil,2016-04-08
masculino,65,internacional,Regular,3,94,very little of diego riveras art,one of the must do activities in town partly because there really isnt much else available dont expect to see very much of riveras artthere isnt any but the house is interesting by itself,Inglaterra,ingles,PC,2016-04-07
femenino,44,nacional,Excelente,5,148,museo favorito en guanajuato,tanto por como ordenan las exposiciones asi como la manera en que tienen ambientada la casa para mi es el museo que no te puedes perder en guanajuato,México,espanol,Móvil,2016-04-06
