Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
femenino,39,internacional,Muy bueno,4,41,beautiful and historic meeting place,a picturesque spot to relax with an ice cream and watch the residents of the city go about their day,Estados Unidos,ingles,PC,2018-05-22
masculino,28,internacional,Excelente,5,218,beautifully maintained heart of the city,it was like being in a european town when i stepped out of the cab after taking a bus from sma to the bus station i was completely stunned thinking did i just step into europe the jardin was compact clean beautifully landscaped and a pleasant surprise lovely restaurants around it and plenty of benches and places to just sit and enjoy yourself must see attraction,Estados Unidos,ingles,Móvil,2018-05-14
masculino,32,nacional,Excelente,5,8,lugar de reunion,pintoresco lugar en el centro de guanajuato original diseno y punto de encuentro de las tunas creo asi se llaman de aqui salen para las tradicionales callejoneadas no olvides comprar antojitos para pasar el rato,México,espanol,Móvil,2018-05-12
masculino,50,internacional,Excelente,5,304,an oasis of peace and greenery in the historic centre,this park is situated centrally next to a temple and iconic theatre juarez full of restaurants where mariachi and other musicians play at nightcannot think of a better place to rest after a long tour,Colombia,ingles,PC,2018-05-08
femenino,63,internacional,Excelente,5,59,lush shady clean gorgeous,perfectly landscaped with plenty of benches so a great place to go any time of day with the sidewalk cafes all around and antique streetlamps it felt a lot like europe the perimeter walkways are paved in marble in the evenings university music students in historic costumes give guided tours for a fee to raise money for their program we got lucky and listened to a group of them perform i would say this was my favorite memory of guanajuato,Estados Unidos,ingles,PC,2018-04-29
femenino,30,nacional,Excelente,5,32,hermoso e inusual,i visita fue en dos horarios al dia dejando siempre ganas de regreser nuevamente ya que a su alrededor encontraras restaurantes o lugares para consumir algo por la noche es un lugar muy romantico y divertido,México,espanol,PC,2018-04-27
femenino,45,internacional,Excelente,5,9,clean and relaxing,a small park right across hotel posada santa fe its pretty clean and gives you that relaxing feel,Estados Unidos,ingles,PC,2018-04-26
femenino,37,internacional,Regular,3,109,un buen lugar para vacaciones lugarenos,sentirse como una plaza publica vacacional indicado para las personas mayores ninos amigos o familiares para caminar la poda de arboles muy suave me siento un poco de sentido demasiado artificial de las modificaciones un poco de piedad pero todavia hay la oportunidad de experimentar mexicana estilo de vacaciones,Taiwán,chino,PC,2018-04-21
femenino,52,internacional,Excelente,5,53,beautiful park,this is a beautiful park across from the theater people stop and take a break on the park benches the trees offer shade and are gorgeous vendors sell food drinks and souvenirs,Estados Unidos,ingles,PC,2018-04-19
masculino,48,internacional,Excelente,5,491,great people watching busy but relaxing,sit on a bench buy a beverage or corn from a street vendor enjoy the street activity or people strolling through the lovely canopied garden a perfect spot to spend some time in guanajuato,Estados Unidos,ingles,Móvil,2018-04-15
femenino,52,internacional,Excelente,5,72,such a beautiful park,loved this park jardin we were there during semana santa and every night bandsand mariachi would play till the wee hours the jardin is surrounded by hotels and outdoor restaurants and pubs great location for people watching,Estados Unidos,ingles,PC,2018-04-07
masculino,70,internacional,Excelente,5,270,a magnet,every day i found myself walking in or through this great square the trees and shade are a great place to rest while you listen to music from the strolling muscisians and mariachis theres a nice view of the square from la terraza restaurant on the corner,Nicaragua,ingles,PC,2018-04-05
femenino,61,internacional,Muy bueno,4,315,lively place,lots of restaurants in this pretty garden area with fountains and wrought iron benches and in the evenings there are many musicians playing,Canadá,ingles,Móvil,2018-03-28
femenino,57,internacional,Muy bueno,4,100,un poco mal ventilada,el centro de la parte antigua esta plaza triangular caracteristica esta rodeado de bares y restaurantes green point ciudad con arboles de corte bajo y por que en algunos lugares te dan la impresion de ser aplastado,Italia,italiano,PC,2018-03-25
masculino,72,internacional,Muy bueno,4,51,right in the middle of town,this postage size park offers a nice escape from the crowds in the busy streets the fountains and hedges give it an exotic feel,Canadá,ingles,PC,2018-03-24
masculino,44,nacional,Muy bueno,4,159,bajo la sombra de laureles,un lugar muy agradable frente al teatro juarez se encuentra lleno de laureles que dan frescura y varios hoteles y restaurantes ofrecen terrazas para consumir alimentos y refrescarse,México,espanol,PC,2018-03-21
femenino,23,internacional,Excelente,5,127,absolutely beautiful and relaxing,this is absolutely beautiful with the canopy of trees surrounding it with lots of benches to just sit and watch the people go by and enjoy the mariachi music being played this is my favorite place to relax and just sit and watch always activity with art show music and lots of outdoor patio dining restaurants to choose from,Estados Unidos,ingles,PC,2018-03-21
masculino,51,internacional,Excelente,5,236,get a walking tour guide at this location,this is a lovely plaza with nice buildings all around and lots of activity i have never been a fan of the sound of dueling mariachi bands so i am not sure i would eat dinner on a patio around this square but we did have drinks and snacks this is one of the buzzing meeting spots in town on the sidewalk across from the teatro we met manuel our walking tour guide he was one of a number of guides milling about with id tags around their necks we went on a 2 hour walking tour with manuel he charged 400 pesos for my wife and i an outstanding deal he walked us all around the historic city from the teatro cervantes at one end to the alhondiga de ganaditas at the other we went into a number of churches and into the university admin building he told us many stories about mexican and local history i also peppered him with questions along the way what a great resource manuel revealed that he was 77 born and raised in gto he learned english and got his guide licence when he retired from 35 years of pottery making kicking the wheel at age 60 he also gave us a little seminar on pottery he is an excellent raconteur both for his personal stories alter boy in one of the grand churches and for the information he shared about his city this tour was one of the best things we did on our recent trip to central mexico i thought i would mention this because we always wonder where to find tour guides when we go to new cities in gto the place is the jardin de la union and manuel is definitely worth your time he is the older chap wearing a dashing hat and a guide permit around his neck,Canadá,ingles,PC,2018-03-21
masculino,32,nacional,Excelente,5,41,obligada visita,si has llegado a la ciudad de guanajuato sin duda alguna iras a este sitio ubicado frente al majestuoso teatro juarez en el jardin encontraras muchos bares y restaurantes la musica en este lugar siempre esta presente es un punto de reunion en todo momento muy agradable para visitar,México,espanol,Móvil,2018-03-18
masculino,73,internacional,Muy bueno,4,323,beautiful but a little posh,a little island of green in the epicenter of the historic district this garden is a cool place to sit surrounded by the interlocking foliage of the beautiful trees apart from the cool temperature it is perhaps a little too cool ringed by pricy restaurants cafes and bars where the welltodo while their afternoons away,Estados Unidos,ingles,Móvil,2018-03-17
masculino,65,internacional,Muy bueno,4,56,a bit lost in time vintage gto,we had a great lunch at the restaurant on the corner staring out at the juarez theatre looking at the people and watching the world go by vintage gto at its best,Australia,ingles,PC,2018-03-14
masculino,36,internacional,Muy bueno,4,148,cortar un arbol de cabeza plana al lado del restaurante no es muy lai,esta justo enfrente de la iglesia de san diego diagonal es el teatro toda la zona es bastante animada y el parque ofrece un muy buen ambiente de ocio incluso por la noche el parque sigue siendo bastante alegre restaurante proximo a tener un monton de mexico oyo la orquesta en las representaciones musica fuente del parque de iluminacion nocturna se han vuelto muy hermosa,Taiwán,chino,PC,2018-03-10
masculino,25,internacional,Muy bueno,4,34,neat old plaza with very loud bands,staying in this area you have access to many things the juarez theater the market the university ect,Estados Unidos,ingles,PC,2018-02-26
femenino,22,internacional,Muy bueno,4,1,un hermoso jardin,es uno de los jardines mas hermosos y magicos de guanajuato un paseo por la noche en el jardin de la union te trasporta a un cuento de hadas enamorada de guanajuato,Costa Rica,espanol,Móvil,2018-02-26
femenino,46,internacional,Excelente,5,36,beautiful,this is one of my favorite places to people watch in mexico the jardin is small but very well maintained and there always seems to be a band playing somewhere try one of the restaurants along the side they all offer outdoor seating so you candy have a drink and just enjoy the beauty of the setting,Estados Unidos,ingles,PC,2018-02-25
masculino,41,nacional,Excelente,5,86,increible ambiente de noche,es un lugar magico lleno de vida musica gente comida resturantes en el centro de guanajuato frente al teatro juarez,México,espanol,PC,2018-02-21
femenino,30,internacional,Excelente,5,56,lugar con encanto,bonito lugar para pasear muy tranquilo y agradable nos gusto mucho dar una caminata y disfrutar del ambiente,España,espanol,Móvil,2018-02-19
masculino,22,nacional,Muy bueno,4,44,la rebanada de pastel,el jardin se encuentra a pocos metros de la basilica de nuestra senora de guanajuato punto de partida para visitar el centro historico enfrente de esta plaza esta el teatro juarez alrededor hay bares y restaurantes artistas plasticos en las noches es punto de reunion de las callejoneadas muy padre,México,espanol,PC,2018-02-17
femenino,33,internacional,Excelente,5,7,lovely plaza,this is a beautiful plaza with trees and benches facing out all around it there is a fountain that has water running in it not the case in every fountain in mexican plazas one side faces the beautiful teatro juarez the only drawback is it is very busy because its on a main calle and the restaurants have their outside dinning tables close,Estados Unidos,ingles,Móvil,2018-02-17
femenino,45,internacional,Excelente,5,757,relaxing,this is one of several small parks in guanajuato a nice place to sit a people watch well maintained with a fountain and manicured trees,Canadá,ingles,Móvil,2018-02-17
masculino,36,internacional,Excelente,5,93,the heart of guanajuato,great place the center a lot of people around you can rest eat shop and drink in many restaurant and shops we had lunch in two of them having the chance to enjoy the weather and movement of the place at night a lot of estudiantinas popular music played by locals in the streets,Chile,ingles,Móvil,2018-02-15
masculino,25,nacional,Excelente,5,10,hermoso lugar al que debes ir si o si,nos hospedamos en un hotel que esta en el jardin de la union y es la mejor decision que pudimos tomar ya hiciera frio o calor el lugar siempre esta lleno de color y es muy hermoso esta muy cuidado y te ofrece varias actividades como callejoneadas restaurantes o cafes definitivamente dar un paseo por el jardin a la hora que sea es algo muy romantico y pacifico hay un estacionamiento cerca que si esta un poco caro de 15 pesos la hora pero si tienes suerte puedes encontrar uno sobre la calle cerca del jardin se encuentra el teatro juarez el funicular para subir al pipila a unas 6 cuadras esta la universidad de guanajuato y el callejon del beso,México,espanol,Móvil,2018-02-12
masculino,57,internacional,Muy bueno,4,127,very nice,nice area in the middle of the historical centre surrounded by restaurants a theatre a church numerous vendors and strolling mariachi bands very lively and a great place to people watch,Canadá,ingles,Móvil,2018-02-08
masculino,29,internacional,Excelente,5,48,lindo lugar,es un lugar muy fresco bonito y relajante esta frente al teatro juarez y puedes encontrar varios puestos de comida y algunos restaurantes,México,espanol,PC,2018-01-28
masculino,49,internacional,Excelente,5,3280,bien cuidada sala de estar,realmente muy bonito y bien cuidado esta ciudad salon triangular con arboles frondosos que protegen del calor de los bancos de hierro de fundicion donde se puede disfrutar de una vida relajado del centro historico de la ciudad siempre vivo y lleno de gente por la noche y dia no se pierda,Italia,italiano,PC,2018-01-25
masculino,45,internacional,Regular,3,326,pretty square to walk through,like all mexican cities this is a focal point what is different is that is it really is one of the shaded areas on the city and relatively flat and a place to people watch there are trees fountains and gazebos it is surrounded by hotels restaurants and shops if you are doing a walking tour of the city it is close to the opera house and a nice place for a break but not a destination in itself but a walk through so plan your walk accordingly,Estados Unidos,ingles,PC,2018-01-23
masculino,31,internacional,Muy bueno,4,137,very nice spot,i hung out here for a weekend and enjoyed the vibrant atmosphere live music and street cafes a bustling but relaxing place to hang out for a couple of hours,Canadá,ingles,Móvil,2018-01-23
femenino,33,nacional,Excelente,5,11,caminata emotiva,muchas veces he pasado por ahi desde que era pequeno e hiba con mis padres a caminar por guanajuato y actualmente sigue ese nostalgico lugardonde depende la hora el ambiente cambiade repente vez muchos jovenes rondeando el jardion y queriendo entrar a un bar que esta en la esquina o a medio dia dia extranjeros y gente con familia o amigos que comen en los restaurantes alrededor ademas de mucha gente escuchando mariachisestudiantinasgrupos musicales y tomandose fotografias de este inolvidable lugar ademas que no descansa ya que es oarte del camino peatonal de la ciudad de guanajuatoasi que cada momento es magico,México,espanol,PC,2018-01-22
femenino,35,internacional,Excelente,5,84,wonderful place to relax,this small area is beautifully landscaped surrounded by restaurants and buildings that have been nicely updated the area has many wrought iron benches to sit and relax and listen to the music from the surrounding restaurants or just people watch,Estados Unidos,ingles,Móvil,2018-01-18
masculino,26,internacional,Excelente,5,134,hands down a beautiful little plaza,love this area gorgeous nice to chill people watch el teatro juarez is nearby an amazing shop called rincon artesanal is down the street on avenida sopena which is always a must,Estados Unidos,ingles,PC,2018-01-18
masculino,61,internacional,Muy bueno,4,521,beautiful but small,this is a lovely square to sit in and watch the world go by the only thing is thats really small and the gazebo is down at one end that means that all the activity is centered around one part of the jardin the restaurants are full at one end the people crowd around one end etc its a square not much to say about that every town in mexico has a few and this one is as nice as most,Estados Unidos,ingles,PC,2018-01-14
femenino,36,nacional,Muy bueno,4,17,bonito,el lugar es hermoso sobre todo por la noche con muchas opciones para visitar al rededor alli se ponen los de las callejoneadas hay un excelente pintor realizando sus cuadros alli enfrente,México,espanol,PC,2018-01-08
masculino,20,nacional,Excelente,5,16,vibrante,esta pequena plaza es el punto de reunion por excelencia para turistas en guanajuato ideal para aquellos que simplemente gustan descansar y pasar el tiempo disfrutando del bullicioso ruido de las voces felices de la gente mucho flujo de turistas en esta zona especialmente extranjeros,México,espanol,PC,2018-01-07
masculino,74,internacional,Excelente,5,947,el corazon de la ciudad,el jardin union es un triangulo cuadrado con sombra preciosa con una hermosa fuente justo en frente del teatro juarez aqui es donde se encuentra el corazon de la ciudad esta llena de tiendas y restaurantes que hacen terraza tambien hay una glorieta en el centro del jardin pudimos ver una orquesta dando un concierto de navidad que era muy agradable,Canadá,frances,PC,2018-01-06
femenino,40,internacional,Excelente,5,55,stunning central square to sit and people watch,located in the heart of guanajuato city it is the main square where visitors and locals sit and relax its lined with beautifully manicured trees which provide much needed shade around the garden square are lovely little cafes and restaurants to sit and people watch you can see gorgeous views of theatro juarez as well as el pipila from jardin de la union everything you need to visit is located right off of jardin de la union,Estados Unidos,ingles,PC,2018-01-04
femenino,42,nacional,Muy bueno,4,13,el corazon de guanajuato,este lugar es efectivamente el corazon de la ciudad en el se reunen sobre todo los jovenes pero igual gente de todas edades acude a escuchar la musica de la banda que toca en el kiosko central o departe en alguna de las terrazas de los restaurantes y bares se le conoce como el centavo de queso por la forma triangular que tiene semejante a una rebanada de queso que antano se pagaba a un centavo desde este jardin se admira la majestuosidad del teatro juarez y del monumento al pipila,México,espanol,PC,2018-01-02
masculino,28,internacional,Excelente,5,16,luna de miel,sentado de pie comiendo helado o tomando fotografias de vacaciones o de negocios no hay pretexto para no visitarlo es un lugar obligado muy bonito,España,espanol,Móvil,2018-01-02
femenino,33,internacional,Excelente,5,20,lovely place to sit and people watch,if you need a shady spot to sit and take a break this is it we stopped at one of the restaurants on the jardin for guacamole and a beer great place to sit and watch all the holiday tourists go by,Estados Unidos,ingles,Móvil,2018-01-02
femenino,39,nacional,Excelente,5,39,buen lugar para descansar,puedes sentarte a la sombra de los arboles y disfrutar el teatro juarez y descansar tambien hay restaurantes y bar alrededor,México,espanol,Móvil,2017-12-30
masculino,32,internacional,Excelente,5,20,fun lively and great people watching,the fun busy hub of this charming town surrounded by restaraunts hotels and cafes its the place to meet relax or people watch anytime of day the square comes alive at night with food vendors mariachi bands and tons of locals and tourists,Estados Unidos,ingles,PC,2017-12-30
femenino,27,nacional,Muy bueno,4,15,tardes familiares,es un lugar lindo pintoresco bohemio para ir en familia o en pareja en diciembre es muy fresco por los arboles alrededor las noches de trova muy buenas en general un imperdible de guanajuato,México,espanol,Móvil,2017-12-30
femenino,33,nacional,Excelente,5,22,muy bonita plaza,esta muy bonita la plaza publica lugar de reunion de miles de turistas destacan sus restaurantes y tiendas de artesanias asi como algunos hoteles,México,espanol,Móvil,2017-12-30
femenino,21,nacional,Regular,3,47,fuimos en una epoca con mucho movimiento,pero aun asi deberian cuidar mas la basura que se genera no dieron ganas de quedarse mucho tiempo ahi hay mucho guia de turistas que te aborda vendiendo tours pero poca gente de turismo que realmente te ayude con dudas de comida o lugares,México,espanol,PC,2017-12-27
femenino,56,internacional,Excelente,5,153,so alive vibrant,the jardin de la union is busy day and night it is surrounded on one side by hotels and restaurants that have tables out on the sidewalks there is a lovely gazebo in the middle and outside of the trees lots of benches for people watching and resting at night you will see mariachis and other musicians roaming the restaurant areas during the afternoon you begin to see the estudiantinas selling tickets to their callejoneados for the evening lovely place to visit,Estados Unidos,ingles,PC,2017-12-19
femenino,44,internacional,Muy bueno,4,923,pristine center courtyard adjacent to theatre and center hotels,this center courtyard garden is beautiful and well maintained and manicured great place to sit and also watch the world go by it is immaculate and the surrounding marble sidewalks are scrubbed,Estados Unidos,ingles,PC,2017-12-16
masculino,53,internacional,Excelente,5,143,agradable,agradable aunque pequeno parque que es siempre una gran cantidad de personas y puestos en el momento de mi visita aqui tuvo lugar solo leer las novelas de julio verne y me sorprendio positivamente la cantidad de oyentes este jardin es definitivamente vale la pena una visita,Eslovaquia,checo,PC,2017-12-10
masculino,64,internacional,Excelente,5,59,lovely place to pass time people watching,sit beneath the squareshaped trees in one of many park benches and watch the world go by the best kept park square in gtos tourist zone across calle de sopena from the exquisite facade of teatro juarez,Canadá,ingles,PC,2017-12-09
masculino,38,internacional,Excelente,5,5,center of guanajuato,beautiful area in the heart of guanajuato one night when we were there there was a a large instrumental orchestral group playing songs from santana couldnt get much better than that,Estados Unidos,ingles,PC,2017-12-09
masculino,52,nacional,Muy bueno,4,352,el corazon de guanajuato,este es sin duda el corazon de guanajuto flanqueado de grandes arboles cuidadosamente podados para darles una forma uniforme y con la figura que rodea el parque al lado se encierra el majestuoso teatro juarez y restaurantes de todos los niveles con sus terrazas patios y comedores interiores tienes de artesanias y varios hoteles boutique practicamente caminando se encuentran todas las actividades y lugares para conocer el centro de guanajuato si tienes oportunidad de hospedarte cerca de este parque sera lo mejor,México,espanol,Móvil,2017-12-04
masculino,56,nacional,Muy bueno,4,154,visita de viernes por la tarde,lugar tranquilo para pasar el rato aunque hay mucha gente es un lugar donde todo guanajuato se resume con sus restaurantes lugares turisticos y bella arquitectura es un lugar que no puedes dejar pasar,México,espanol,PC,2017-12-01
femenino,35,internacional,Excelente,5,33,lovely square,i love this square and the perfectly cut trees around it as well as the athmosphere that is so joyful mariachis singing estudiantinas gathering early at night for the callejoneadas the place is romantic especially at night you can get a drink or a meal in one of thr restaurants by the place the theatre that is just in front is also very beautiful at night and during the day,Estados Unidos,ingles,PC,2017-11-29
femenino,18,internacional,Excelente,5,39,beautiful place,beautiful place surrounded by excellent bars and restaurants and right across the street from teatro juarez if you are eating outside however be expecting people to come up to you trying to sell songs or miscellaneous items nonetheless this is a must see,Estados Unidos,ingles,PC,2017-11-26
femenino,45,nacional,Excelente,5,155,la rebanada de pastel,el jardin es muy pintoresco y pequeno rodeado de hoteles el teatro juares y varios restaurantes un lugar de punto de reunion atras del teatro juares podras tomar el funicular y llegar al mirador del pipila traten de llegar en taxi o camion no hay estacionamientos gracias,México,espanol,Móvil,2017-11-21
femenino,39,nacional,Excelente,5,2,lugares hermosos en el centro historico,el centro de guanajuato es precioso hay mucho que hacer mucho que recorrer y mucho que contemplar,México,espanol,PC,2017-11-16
masculino,74,internacional,Muy bueno,4,925,siempre ocupado decir cuadrada,este parque esta situado en el centro de la ciudad en parte frontal del ojo esta situado juarez es el teatro en el parque de los alrededores esta llena de restaurantes donde hay un asiento terraza asi orquesta por la noche que hace su rendimiento por la noche y en dias festivos puestos tambien a cabo es donde llena de muchos turistas y ciudadanos,Japón,japones,PC,2017-11-13
masculino,46,internacional,Regular,3,127,very pretty but closed to the public,this is a square that is closed to foot traffic the real attraction are the surrounding cafes and the people who come out to play at night it is a nice and safe square,Estados Unidos,ingles,PC,2017-11-11
femenino,42,nacional,Excelente,5,42,hermoso y tipico jardin,bello kiosco y restaurantes con sombrillas y musica que hacen muy agradable cenar o tomar una copa en esta area mientras vez el movimiento de la gente que pasea y disfruta de los encantos de guajajuato,México,espanol,PC,2017-11-09
masculino,22,nacional,Excelente,5,10,excelente lugar,me toco ir por la manana y es un lugar super tranquilo y se disfruta por la noche es bastante ruidoso y complicado de caminar,México,espanol,PC,2017-11-08
femenino,53,internacional,Muy bueno,4,71,bonito jardin,rodeado de restaurantes y bares frente al teatro juarez punto de encuentro en guanajuato pense que era mas grande el jardin pero esta lindo,El Salvador,espanol,Móvil,2017-11-06
masculino,58,internacional,Muy bueno,4,60,relaxing central spot,this is a good spot to sit and enjoy the sun there are stalls around selling food and ice cream additionally there are other places nearby where you can buy food and bring it to this park the park is slightly close to a road we wanted to relax but sometimes some cars would beep additionally there was some litter around and i put my rug in some gum on the floor so just be careful,Canadá,ingles,PC,2017-11-05
masculino,52,nacional,Muy bueno,4,22,bonita plaza,la plaza principal de guanajuato perfecta para fotos en el teatro y gran variedad de restaurantes en la plaza un lugar muy representativo de la ciudad,Estados Unidos,ingles,PC,2017-10-31
femenino,31,nacional,Excelente,5,35,el centro de la accion,siempre es obligado ir a este jardin es el centro de la accion en guanajuato ruidoso con mucha gente pero al mismo tiempo sabes que estas en el sitio indicado,México,espanol,PC,2017-10-31
masculino,46,nacional,Excelente,5,41,agradable,un jardin justo frente al imponente teatro juarez lugar de bares y restaurante con ambiente festivo todos los dias un lugar para disfrutar,México,espanol,Móvil,2017-10-29
masculino,39,nacional,Muy bueno,4,15,turistico,centrico agradable y muy bien cuidado a veces hay demasiada gente arbolado y rodeado de buenos bares aunque un poco caros,México,espanol,PC,2017-10-27
femenino,61,internacional,Regular,3,428,tiny and feels claustrophobic,there are too many trees in this park none of which grow straight up they are all leaning one way or another fighting for space in the sunlight you cant see from one side to the other there are many metal benches available to sit on and a gazebo in the middle its a cool respite in the middle of the city but its not restful its a little pocket of trees,Estados Unidos,ingles,PC,2017-10-24
