Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
femenino,33,internacional,Excelente,5,52,busy city market,the market under a large metal building is bustling with merchants and noise feel the energy of the city and smell the foods all kinds of merchandise foods snacks and drinks for sale most merchants only speak spanish and take cash only very reasonably priced,Estados Unidos,ingles,Móvil,2018-04-20
masculino,50,internacional,Muy bueno,4,491,people watching local feel among the tourists,nicely done market with lots of food stalls produce and meatfishpoultry we enjoyed very inexpensive food with locals not a place to go for high end clothing or other things but a variety of gift items and fun people watching including outside the building,Estados Unidos,ingles,Móvil,2018-04-15
femenino,24,internacional,Excelente,5,39,recuerdos son mas baratos,el primer piso de la segunda planta comida sencilla que estan vendiendo recuerdos guanajuato que el precio de las cosas mucho mas barato y mucho nahu de las figuras de ceramica para decorar la casa de atocha ir a la ciudad de mexico haria mothaetneunde no comprar un monton de comprar en la ciudad de mexico lo hizo olgeol cuatro mas habia un pequeno craneo visto los precios de venta se duplico en teotihuacan visita a lugares aqui y alla llego la noche ni para comprar solicitando descender dando varias cuidado en vivo en el primer piso de aterrizaje 15 dio lugar carta copa sama pesos corte era pequeno demasiado bueno dos veces enmascarado 500 de la manana tambien estoy cerrando las tiendas de las puertas asi que no van demasiado tarde,Corea del Sur,coreano,Móvil,2018-04-10
masculino,32,nacional,Regular,3,19,fuimos 2 veces a comer,prueba las guacamayas y las comidas de la fonda en el segundo piso los previos accesibles y sales satisfecho te queda cerca la alhondiga de granaditas,México,espanol,Móvil,2018-04-08
masculino,48,internacional,Regular,3,94,not that impressed,i was excited to see this marcado but it was not that special we ate carnitas here and they were the worst carnitas i have ever eatenand i love carnitas there are little bar stools you sit on and watch them chop and cut up the meat outside there are actual sit down restaurantswe didnt see them until after eating inside,Estados Unidos,ingles,PC,2018-04-07
femenino,30,nacional,Regular,3,49,colorido,el mercado segun me dijeron se encuentra dentro de lo que alguna vez fue una estacion de tren hermoso por fuera e interesante y pintoresco por dentro en la primera planta encontraras todos los puestos de comida y en la planta de arriba se encuentran artesanias y recuerdos de todos los lugares turisticos de la ciudad te recomiendo las tortas de chicarron con aguacate que vende justo frente a la entrada del mercado,México,espanol,Móvil,2018-04-05
femenino,25,nacional,Muy bueno,4,9,barato,tienes que visitarlo y si quieres comprar souvenirs es aqui lamentablemente yo me fui en tour y me llevaron a cooperativas de mineros que segun mas barato despues fui al mercado y la misma cadena que me dieron en 50 en la cooperativa estaba en 25 en el mercado,México,espanol,Móvil,2018-04-05
femenino,36,internacional,Excelente,5,92,una experiencia diferente,como turista es muy interesante muchisimos puestos y distintas opciones de articulos del recuerdo al igual que mucha comida la higiene si deja mucho que desear y en realidad si es un tema delicado pero si se elige con precaucion si pudieran ir por algo para comer buenos precios,Chile,espanol,PC,2018-04-04
femenino,51,internacional,Muy bueno,4,315,lots to choose from,this is a large market that covers 2 entire floors with just about anything you can imagine there must have been over a hundred booths it was very central in location and easily accessed,Canadá,ingles,PC,2018-04-01
masculino,31,nacional,Muy bueno,4,175,muchas opciones para comer,sabias que originalmente iba a ser una estacion de tren por eso el diseno tan bello desafortunadamente esta algo descuidado y falta mas orden con los comerciantes hay muchos puestos de comida tortas comida corrida quesadillas jugos etc y al lado hay un mercado de pura comida puedes comer rico a buen precio o al menos conocer un tipico mercado mexicano,México,espanol,Móvil,2018-03-30
