Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
masculino,38,nacional,Excelente,5,14,hermosa vista de la ciudad,hermosa vista de la ciudad y bonito paseo en el funicular seguro para viajar en familia y ademas de contar con diversos antojitos mexicanos en la parte superior,México,espanol,Móvil,2018-07-19
masculino,37,internacional,Excelente,5,642,magical view of the city,the view is an easy 5 stars you will see many colorful houses and brightly painted buildings below also great views of the historical town center not to be missed,Canadá,ingles,Móvil,2018-07-18
femenino,27,internacional,Excelente,5,16,no te lo pierdas,nos gusta mucho aqui veras increibles vistas de la ciudad asegurese de venir aqui para tomar una foto hay varios restaurantes de comida rapida y tiendas de recuerdos aqui llegamos a esta atraccion en teleferico vera otra gran vista en el teleferico cuando bajamos de la montana tomamos un taxi porque el viaje estaba bastante lejos,Singapur,chino,PC,2018-07-14
femenino,19,nacional,Excelente,5,31,monumento y vista panoramica,una visita a este lugar te hara deleitar la pupila con la vista panoramica del viejo y hermoso guanajuato puedes observar todo el centro historico ademas puedes ingresar y subir hasta la punta del monumento al pipila para incrementar la experiencia por comida no te preocupes encontraras una gran variedad de puestos con antojitos mexicanos y muchas tiendas de souvenirs,México,espanol,PC,2018-07-14
femenino,20,internacional,Excelente,5,16,cannot miss,we loved it you get an unbelievable view of the city from up there you cannot miss this photo op there are several snack stands and souvenir shops at the top we reached this destination by taking the funicular another great view we took a taxi down since it was quite a walk,Estados Unidos,ingles,Móvil,2018-07-14
masculino,27,internacional,Excelente,5,294,fantastic view of guanajuato,if youre in guanajuato you cant skip this place you get this amazing view of the entire city with its colorful homes mountains and sky theres also a statue of one the historical heroes of mexico which can be seen from most places in guanajuato, Costa Rica,ingles,PC,2018-07-13
masculino,39,nacional,Excelente,5,9,monumento con historia,es un lugar muy tradicional que no puedes dejar de visitarlo ya que es parte de la historia de guanajuato y de todo mexico,México,espanol,PC,2018-07-09
masculino,25,nacional,Excelente,5,5,el mejor mirador,es el mejor mirador de guanajuato ahi disfrutas de rica gastronomia y lugares para conocer lo tipico la vista hermosa de toda la ciudad,México,espanol,Móvil,2018-07-09
masculino,43,internacional,Excelente,5,57,la mejor vista de guanajuato,muy bonita vista de guanajuato hay mucha vida ahi esta muy facil llegar puedes comprar souvenir y algo de comida tambien,Nueva Zelanda,espanol,PC,2018-07-04
femenino,30,internacional,Muy bueno,4,24,interesante,toda la historia de mexico y el extenso de guanajuato en particular,Francia,frances,PC,2018-06-24
