Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
femenino,44,internacional,Muy bueno,4,4,different,the museum is a collection of bodies that were unintentionally mummified though the mummies are ok the explanation of how they died or what happened to them after is a bit creepy for smaller children interesting thing to do and a must in guanajuato,Estados Unidos,ingles,Móvil,2018-07-23
masculino,61,internacional,Muy bueno,4,294,cool if a bit creepy,this museum is essentially a very long display of mummies they try to give them different angles explaining some of the history as well as the reasons bodies end up in that state it gets a bit repetitive after a while but its still a cool close look at mummies which isnt something you see every day,Costa Rica,ingles,PC,2018-07-13
masculino,40,internacional,Regular,3,99,museo de momias secas,guanajuato dijo que no habia espacio para el entierro en el pueblo de la montana y en el pasado se decia que en lugar de enterrarlo el cuerpo se colocaba en un tunel donde se terminaba la excavacion fue este museo que una persona de la posteridad que vio que el cuerpo se secaba bien con un clima seco luego reunio los cuerpos todo esta bien seco,Japón,japones,PC,2018-06-28
femenino,35,nacional,Muy bueno,4,45,ok,las momias de guanajuato are internationally famous they have traveled to several museums abroad and they always come back to their home town naturally preserved due to the minerals found in guanajuatos soil you can see them and while imagining their former life i imagine my own death the visit may be shocking to some fun for others but never indifferent,México,ingles,Móvil,2018-06-13
femenino,20,nacional,Excelente,5,8,amazing,it is an amazing place to know the history of each mummy there definitely tourist must visit the museum,México,ingles,Móvil,2018-06-11
masculino,45,internacional,Regular,3,1036,comun,no sali tan impresionado como otros porque ya he visto mucha momia como en egipto argentina bolivia etc en realidad no son cuerpos preparados para la preservacion como en egipto los cuerpos fueron preservados por el clima seco y suelo arenoso de la region paseo interesante pero que no anade nada en la vida de la persona como los museos de historia natural con animales embalsamados,Brasil,portugues,PC,2018-06-09
femenino,40,internacional,Muy bueno,4,29,wierd and unique,yes a museum of mummies apparently the heat and the soil chemicals on this site frequently create mummies out of the corpses as the grave sites are reused every 5 years if a mummy is found and the family doesnt claim it it becomes property of the state like a national treasure most of the mummies are not very ancient many still have their hair and burial clothes tours are in spanish so english speakers are at a disadvantage,Estados Unidos,ingles,PC,2018-06-01
masculino,49,internacional,Regular,3,42,mixed feelings on this place,on one hand the mummies are very interesting and warrant a visit some are even quite haunting on the other hand though its almost a carnival atmosphere there with mobile selfie frames so you can go take a selfie with one of the corpses im not that sentimental but come on these deserve some modicum of respect they were once someones loved ones some of the mummies have some context around them a story to be told but others are just lined up it would be nice to get some sort of context around them they all must have stories to tell,Estados Unidos,ingles,PC,2018-05-30
masculino,64,internacional,Muy bueno,4,108,novel enough to deserve a visit,for people comfortable seeing about 20 petrified corpses it is worth a trip mexico honors its dead and seeing dead people is emotionally different from in the us the bodies are petfied because of the soil the were not wrapped up to be preserved like egyptian mummies,Estados Unidos,ingles,Móvil,2018-05-29
femenino,26,nacional,Pésimo,1,7,weird,is not a place to celebrate death they just show old dead bodies like a circus not sure this is good for showing our culture,México,ingles,Móvil,2018-05-27
