Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
masculino,69,internacional,Excelente,5,70,beautiful location for a symphony,beautiful historic theater great place for a concert unfortunately street performers noise bleeds through and is very distracting,Estados Unidos,ingles,Móvil,2018-06-24
masculino,43,nacional,Excelente,5,3,wow,this is the second best and nice theater in mexico love this place you can take pictures whit out a problem not like bellas artes they charge over there is cheap to see inside this gorgeous place,México,ingles,Móvil,2018-06-16
masculino,55,internacional,Regular,3,1016,comodin,para aquellos que conocen muchos paises el teatro juarez es mas que otro teatro bastante dudoso gusto arquitectonico y decoracion tiene una historia interesante pero lejos de merecer el primer lugar en tripadvidor bien vale la pena la visita en el contexto de una visita al centro de guanajuato,Brasil,portugues,PC,2018-06-12
masculino,36,internacional,Excelente,5,227,incredible detailing amazing architecture,it reminded me of being in rome it was a gorgeous building right in the heart of guanajuato the statues at the top of the building were stunning and the overall appearance was simply majestic located around the main jardin its impossible to miss if youre doing any sort of sightseeing in town very much worth a stroll and pictures,Estados Unidos,ingles,Móvil,2018-05-14
masculino,40,internacional,Excelente,5,306,imposing building from the turn of 19th century,this building is truly splendid not quite of course as the famed bellas artes in mexico city but interesting and with great history the pity is that almost all beautiful south american theatres rarely have more than four or five performances a month and that even applies to rio de janeiros celebrated teatro municipal an interesting piece of history was that it opened with verdis aida only four years after the world premiere of this famous verdis masterpiece,Estados Unidos,ingles,PC,2018-05-08
femenino,64,internacional,Excelente,5,521,beautiful,this theater still in use today is an example example of mexican theaters that you occasionally find in cultured centers built during the 1800s this is beautifully maintained and some of the large historical signage is in english for a greater appreciation of what youre seeing reasonably priced and well worth an hour,Estados Unidos,ingles,Móvil,2018-05-07
femenino,28,internacional,Muy bueno,4,2,teatro juarez,this theather is the main point of the city so i will recommend to start your tour with a visit the price is minimal and well worth the price young children dont pay entrance,Estados Unidos,ingles,Móvil,2018-04-23
masculino,50,internacional,Excelente,5,54,mexican dance performance,attended with a local friend to a dance performance of dances of young performers from different regions in mexico the dancers were excellent the music and costumes were vibrant the dancers were very professional and talented,Estados Unidos,ingles,Móvil,2018-04-21
masculino,38,internacional,Excelente,5,119,stunning,this is mexicos 3rd most beautiful theater only behind bellas artes in mexico city and degollado un guadalajara you can enter the theater limited hours so check online i personally like to see it at night but during the day is beautiful too,Estados Unidos,ingles,Móvil,2018-04-18
masculino,62,internacional,Muy bueno,4,503,beautiful theater,a real treat throw back to a bygone era wooden seats multiple levels not a bad seat in the building,Estados Unidos,ingles,Móvil,2018-04-15
masculino,61,nacional,Excelente,5,6,muy pintoresco,buen edificio cuidado y mantenido se amalgama de manera genial con la ciudad y demuestra la epoca del apogeo de la misma vale la pena conocerlo,México,espanol,Móvil,2018-04-09
femenino,33,nacional,Excelente,5,49,majestuoso,sin duda alguna un lugar que no puedes dejar de visitar bello por fuera y por dentro es una joya de nuestro pais el costo es muy accesible te recomiendo unirte a las explicaciones y relatos de los guias aprenderas mucho,México,espanol,Móvil,2018-04-05
femenino,41,nacional,Excelente,5,43,divino,muy bien conservado vale la pena entrar a ver el techo esta increible y en la primer planta hay un piso de cristal hermoso,México,espanol,Móvil,2018-03-29
femenino,35,internacional,Excelente,5,12,un ejemplar de la historia de nuestro mexico,conservador lleno de historia y arte pinturas maravillosas y recuerdos de los personajes que se han presentado en este teatro cuando nosotros fuimos se presento ofelia medina con un monologo maravillosa,Estados Unidos,espanol,PC,2018-03-28
masculino,51,internacional,Excelente,5,5,the pearl of guanajuato,such an incredible place very well concerved can enter for under 2 dollars 35 pesos wonderful experience,Canadá,ingles,PC,2018-03-23
femenino,19,nacional,Excelente,5,96,hermoso y conservado,un lugar historico y muy bello en ocasiones se ofrecen obras de teatro o eventos en la entrada el acceso no es muy sencillo pero por dentro tambien es muy bello parte importante de el recorrido al centro de la ciudad,México,espanol,PC,2018-03-20
masculino,53,internacional,Excelente,5,25,un lugar de ensueno,el teatro es un lugar maravilloso que sin duda hay que conocer la arquitectura es hermosa me fascino este lugar,Ecuador,espanol,Móvil,2018-03-11
masculino,34,internacional,Excelente,5,208,interior bellamente adornado y exterior tienen una gran cantidad de obras de teatro,aqui es casi el final de la animada zona de guanajuato sino tambien las actividades de las zonas mas animadas el teatro en si no es grande pero el interior es precioso muy bonito muy pintoresco y la entrada por solo el 35 mxn muy muy barato intensificado fuera del teatro un lugar de encuentro publico sino que tambien tienen una gran cantidad de actuaciones que si esta disponible no solo tiene que ir a traves asegurese de permanecer aqui por un tiempo disfrutar del espectaculo,Taiwán,chino,PC,2018-03-10
femenino,32,internacional,Excelente,5,22,arquitectura de 1900,un lugar precioso con mucha historia muebles y disenos impresionantes me quede con ganas de asistir a alguna presentacion,Uruguay,espanol,Móvil,2018-03-10
masculino,45,internacional,Excelente,5,15,fantastico,lugar maravilloso como a toda la ciudad parada obligatoria arquitectura fantastica y un lugar muy agradable,Portugal,portugues,Móvil,2018-03-05
femenino,39,nacional,Excelente,5,191,conservado,es un teatro hermoso que a la par sirve de museo en el que te explican sus inicios el porque de las divisiones en las butacas su construccion y el uso que se les daba a sus diferentes salones y que gracias a grandes mentes en la actualidad sigue en funcionamiento con grandes y hermosas obras imperdible de preferencia pregunta por el senor que te explica todo lo anterior y puedas disfrutar de su charla sentado en las butacas remontandote a esa epoca,México,espanol,Móvil,2018-03-04
femenino,35,nacional,Excelente,5,3,astonishingly beautiful theater,we had the privilege of attending the concerto kln at teatro juarez during the 2017 cervantino what a breathtaking venue the theater is beautiful and the acoustics were wonderfulthe perfect place to attend a performance by such an accomplished ensemble we also attended the ballet gothica a couple of weeks later which had a few rough edges but was entirely enchanting once again the theater was perfect,México,ingles,PC,2018-03-03
masculino,38,internacional,Excelente,5,47,ver y admirar,sin duda un lugar con una historia fascinante y hermosos interiores la arquitectura refinada visita definitivamente vale la pena tener una idea del teatro mexicano al menos en terminos generales precio de la entrada pero de bajo costo y observar el interior del teatro hay algo se puede realizar una visita guiada pero se puede explorar por su cuenta dentro del teatro una hora seria suficiente para una visita detras del teatro es la entrada del funicular,Rusia,ruso,PC,2018-02-23
masculino,19,nacional,Excelente,5,14,sinfonia para el espectador,tuve la oportunidad de deleitarme con la sinfonica de la universidad de guanajuato y fue una experiencia inigualable el teatro le de mucho plus a la ciudad aprecias el arte y la cultura te engradece el alma aprovechen todos los eventos posibles no se arrepentiran,México,espanol,Móvil,2018-02-23
femenino,28,internacional,Excelente,5,56,curioso,un lugar bonito y curioso para conocer en guanajuato un teatro antiguo y chiquitito con mucho encanto lugar emblematico de la ciudad,España,espanol,Móvil,2018-02-19
masculino,20,nacional,Muy bueno,4,69,de los mejores teatros mexicanos,no cabe duda que es un edificio emblematico una belleza de arquitectura lamentablemente las dos ocasiones que he ido a guanajuato esta cerrado y la ultima en remodelacion pero sin duda es majestuosa por fuera,México,espanol,PC,2018-02-17
femenino,41,internacional,Excelente,5,757,asegurese de echar un vistazo,todo el mundo paso por 35 pesos tarifa para entrar en este hermoso edificio en muchas areas solo se nos permite entrar en la sala de recepcion principal y una sala de arriba,Filipinas,chino,Móvil,2018-02-17
femenino,41,internacional,Excelente,5,757,must see,the juarez theatre is right at the base of the funicular we entered this beautiful building for a small fee of 35 pesos we we allowed access to the main theatre and a reception room upstairs among other areas,Canadá,ingles,Móvil,2018-02-17
masculino,38,internacional,Excelente,5,94,great place if you have a tour guide,very beautiful building from early xx century from porfirio diaz time french influence masonry politics etc we joined a tour guide and really made the difference he gave us a very good explanation of the teatro and also mixed very nicely with mexican history and art in my opinion going without a tour would have been less that 10 of the understanding another concert building,Chile,ingles,Móvil,2018-02-15
femenino,25,nacional,Excelente,5,118,obligado,esta hermoso el teatro es muy importante visitarlo es parte de la historia del pais cuando vayan tomen a un guia para que les de un recorrido,México,espanol,Móvil,2018-02-08
masculino,46,internacional,Excelente,5,340,the gilded age in mexico,the theater if interesting from the outside however to truly appreciate this you must go inside you can go a couple of floor and enter the area in front of the stage the glass work is very interesting and the floor is incredible there were no charges for taking pictures with your cell phone it takes about a half hour at most if you go inside and explore the floors that are open our driver and guide provided some background as usual no information concerning the history,Estados Unidos,ingles,PC,2018-02-05
femenino,53,internacional,Muy bueno,4,62,un teatro muy bonito,muy recomendable la visita al teatro es digno de ver puedes caminar entre los asientos y tomar buenas fotos,España,espanol,Móvil,2018-01-30
