Genero,Edad,Procedencia,Calificacion,Score,Aportaciones,Titulo,Opinion,Pais,Idioma,Dispositivo,Fecha
masculino,38,nacional,Excelente,5,50,imponente,es una construccion imponente desde que te vas acercando y la ves a lo lejos te sorprende su magnifica arquitectura tiene una gran cantidad de escalones en los cuales al llegar a lo mas alto podras ver una parte de la ciudad,México,espanol,PC,2018-05-29
masculino,60,internacional,Excelente,5,12,explore the inside,the steps are beautiful for views and exersize but use the opportunity to walk inside watch the old library and the museum art exhibitions the old fantastic doors and architecture the wandering students and professors sometimes they show movies and other activities for free that may be of interest and if you speak some spanish people are more than willing to give you information about the attractions of this marvellous campus,Estados Unidos,ingles,PC,2018-05-26
femenino,22,internacional,Excelente,5,89,excelente,el lugar es fantastico y tiene una envidia arquitectonico para las personas que disfrutan de los edificios que miran bien hecho y tomar fotos con un fondo hermoso paisaje es un lugar maravilloso,Portugal,portuges,PC,2018-05-25
femenino,49,nacional,Excelente,5,4,espectacular,me gusto la arquitectura del edificio y las hermosas escaleras si subes las escaleras apreciaras una hermosa vista de guanajuato,México,espanol,PC,2018-05-20
femenino,23,internacional,Excelente,5,3,lugar imperdible de guanajuato,edificacion que de dia o de noche es imagen que no se olvida subir sus escaleras te hace sentir que estas en hogwarts si te gusta el mundo de fantasia de harry potter es una de las fachadas de universidad mas bonita que he visto,Chile,espanol,Móvil,2018-05-06
femenino,34,internacional,Excelente,5,106,cuando un joven y vibrante,antes de que los edificios bien construidos los estudiantes utilizan para sentarse en las escaleras nahu y me siento bien el estado de animo de la ato haebogil recomiendo visitar al menos una vez,Corea del Sur,coreano,PC,2018-05-05
masculino,30,internacional,Excelente,5,62,beautiful and in the center of the town,a great place to visit and hang out with the students and city on the steps of the building and have an icecream,Estados Unidos,ingles,PC,2018-05-01
femenino,29,internacional,Excelente,5,18,arquitectura maravillosa,fantastica arquitectura nos encanto tanto la arquitectura externa como las instalaciones ademas fuimos en un cervantino fue increible de verdad,Perú,espanol,PC,2018-04-30
masculino,35,nacional,Excelente,5,32,hermosa y colonial,sin duda la infraestructura de este hermoso lugar hace que al visitar la ciudad de guanajuato tengas que visitar uno de los edificios mas importantes y con una larga historia,México,espanol,PC,2018-04-27
masculino,22,internacional,Muy bueno,4,578,intereating history here,we had hired a guide who actually went to university here so the inside story was great opted not to cl8mb these steps but do go into adjacent buildings where some of the history is displayed some evenings they put up a big screen and show movies at the bottom of these steps kinda fun,Estados Unidos,ingles,PC,2018-04-23
masculino,27,nacional,Excelente,5,134,muy lindo lugar,la maxima casa de estudios de guanajuato una infraestructura impresionante y muy bella si subes los escalones tendras una vista hacia el centro de la ciudad que es imperdible,México,espanol,PC,2018-04-17
