text,target
ummmm q hermoso culote q puedo hacer para meterle la verga?,1
rt si quieres ver la verga de este guapito... 😍🔥😈,0
jajajajajaja la noche triste se queda pendeja con esta historia 😂,0
@usuario así deberíamos salir a exigir nuestros derechos y acabar este mal gobierno y no para putos conciertos lava cocosque pinches borregos son,0
no we no lo quise decir así para no englobar a los putos gringos que ojalá queden fuera alv jeje,1
está de la chingada eso de no traer efectivo. justo cuando necesitas 5 putos pesitos.,0
y el muy hdp pretende dar lecciones al presidente de mi patria venezuela,1
y la risa d estos?  psicopatología: los perversos son cínicos no hay verguenza culpa o asco no hay ideología en suma reniegan d su madre,0
yo toy viendo como se agarran a fregasos:v ando cansao putos v:v,0
el árbitro ni amarilla .y si se diga de los putos comentaristas ( no dicen nada incluyendo al joto de brisio),1
eso ya tiene meses. y al final me mando a la verch. xd,0
me ves tranquilo y todo pero neta tengo un chingo de cosas que hacer nada más que me vale madre,0
no duermo chido desde el lunes y hoy que puedo hacerlo me desvelo estudiando con mi hermana.  si ser joto es mi pecado esto lo anula.,0
"valentin tenía razón:""es mejor terminar como amigosque ser como enemigosesperando atacar"" ya no pelearé a esa loca nayarita. :p",0
putas filas por qué hacen fila para todo? que estreeees😤,0
en enero seré madrina y bueno seré una madrina luchona jajajaja 👶🏻👩🏻💙,0
es una puta verga donde sea es dios y muchos ames no lo quieren.,0
como cuando eres drag queen padre y madre luchona mesera de sanborns adelita márgara francisca la tesorito y paulina rubio a la vez,0
tengo un chingo de ganas de escribirte pero te chingas por cotizado 😌,0
"reseña del libro ""memoria de mis putas tristes""  mi blog",0
apuestale tu pucha de joto a @usuario pinche muerto @usuario,1
me gustaría firmar. puro estado ponzoñoso ¿no se querrán adherir los putos sureños?,1
le parece gracioso ir acosando a una mujer en la calle puto ruco de mierda 3 putas cuadras teniendo que soportar sus asquerosidades,0
no se vale justin es menos joto no se vale! #tarantula40,1
no te pases de verga si aparece twisty el payaso 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 #ahscult,0
la chica de humo es la mejor canción del pop en español. fav si estás de acuerdo. putos no.,0
nunca he ido a partidos de fútbol porque soy medio marica para esos pero si a conciertos y casi morir aplastada 😕🙄,0
daría la salud de mi puta madre por poder meterte la lengua en ese culito mi amor.,1
ay si por amor de diossss. están feroces. no lo vuelvo a hacer. la gente está muy loca. mucho. ☹️,0
¿de qué cuenta un alcalde puede compadecerse de la familia de un reo asesinado cuando matán a diario gente trabajadora? ¿cómo putas?,0
tan pronto mi trabajo deje de succionarme el alma me pongo a escuchar tu álbum. enhorabuena marica!,0
azuara vete a la verga bueno primero me haces un hijo y ya luego te vas a donde quieras,1
@usuario ya no quiero darme en la madre por nadie 🙅🏻🙅🏻,0
saben qué me rehuso a creer más putadas del mixtape uno se emociona y de plano no chingadamadre vayanse a la verga,1
contra los putos suplentes de los suplentes de ecuador cualquiera.,1
tres putos doctores y que de ninguno tenga un diagnóstico atinado 😤😤😤😤😤😤,1
me cuesta mucho trabajo convencerme de entrar a esta clase. está de la mierda.,0
a quien se lo esta llevando la chingada la uni? sip a todos menos a mi putas,1
jaja pues claro es muy facil cuantas veces lo hacho el #pri un chingo con medios vendidos pero pueblo d #mexico ya esta asta la madre,0
les urge la verga pero andan de mamonas así como ps,1
morras no confundan respetar una relación con quererlas controlar no sean putas mal educadas.,0
a la verga!!! díganme que esto es real!!! ya quiero jugar esa pelea 😱😱😍😍sora and riku vs their hearts,0
si mato a su vieja es capaz de matar a quien se le ponga enfrente recuerden q anda armado ese ratero hdp,1
no me importa lo que digan esos putos periodistas! hay que alentar a la selesioooon ohhh ohhh hay que alentar la selesiooon! @usuario  1/2,1
marica vez como haz cambiado ya ni aguantas nada.,0
va putos ya tengo el playsssss solo compro el juego y le entro.,1
en méxico estaremos de la verga pero al menos no estamos de la verga con trump dirigiendo al país.,0
cómo le palpita la verga a este señor cuando termina  que verga tan gorda,0
jajajaja esa sandra sí que esta loca  pero así la quiero,0
vete a la verga skyalert!! me dormí a las 3 y sales con tus putas mamadas!!!,0
si lees bien el tuit estaba tragando cereal y no verga ☝️,0
no pendeja no eres guapa. son los filtros y las ganas de coger de los cabrones que te dicen que lo estás.,1
ojalá pudiera ver que ya no soy el marica que era de niño.,0
seamos sinceros la verdad es que el amor no duele lo que duele es que te hagan creer que es amor y no sea y se estén…,0
en serio este video se merece rts de madre #polloalatomo #elfuegonosune que chingoneria.,0
vrg q me digan del dobladillo del pantalón es como si en media me dijeran de subirme las calcetasme tiene hasta la madre el puto carlos,1
que no se pierda la bonita costumbre de sacarse la verga en el autobus 😝🍆,0
y ahí que tiene que ver alfaro ya se siente gobernador o que putos toca en zapopan.,0
siii me boy a volver loca!! quiero que sea ya 10 de noviembre!!,0
aquí de pendeja mendigando tu atención porque pues me encanta hacerle a la mamada.,0
nórdico mi edredón? no que putas de esos no traía el abonero es hecho en méxico pero esta perrón!,0
me desesperan tanto sus snaps con la camara rapida osea neta creen que queremos escuchar sus putas voces en modo ardilla? me cagan,1
y si empezáramos así este martes frío para calentarnos un poco???  #fer #putita #tiernita,0
con esta descarga dentro de la concha de está putita juro que queda preñada,1
de verdad qué pinche vergüenza que en el mundo se sepa que méxico juega en la misma zona que @usuario y @usuario  putos equipos llaneros,1
es una danza de tu falda niña pienso mandar a la verga lo que nos contamina,0
dicen que soy experto en mandar a la gente a la chingada. #asilascosas,0
sabes que eres la verga cuando dos diferentes lugares en la misma zona ( la madero ) te buscan para que les hagas la imagen de su bar.,0
❤️ si te aventabas un zing del enreatado. - omvres no - putos no - codos cenizos no,0
seriamos 4 pero salieron a dar las nalgas no a jugar fútbol 😒😒,0
"de la boca de una princesa nunca saldrá la palabra ""verga"" porque ellas la prefieren dentro... jajajaja",1
@usuario no me gustaría ver desaparecer mi berga en tu culo,1
cuál es el pinche afán de más viejas de creer que todas queremos con su hombre? les hace falta más verga para sentirse seguras o que,1
la vida se pone tan chula como tu decidas que se te ponga....pontela poca madre!!!,0
#dosdecadatres mentadas de madre llevan tu nombre bordado en oro,1
wey es lo maxino súper trabajador súper responsable no toma no es mujeriego pero tiene una ex loca. 🙈 con eso no puedo.,0
cuatro putos años viviendo en xalapa y todavía me equivoco al tomar el camión. maldita sea.,0
sabes que vales verga en la vida cuando solo tienes 6 aciertos de 43. ❌☹️,0
verga nunca sabremos cuál v word. ¿vagina? ¿vulva? ¿vladimir-putin? ¿vacío-existencial? 🤔,0
jajajajajajajajaja putos gringos chinguen a su madre,1
dame mi pelota estupida 🙅 jajajajajjaja pinche joto.,1
"¿qué se siente darte a conocer por ser un joto madreado y no por lo que ""escribes""? jajajajajajajaja se vale sobar pinche maricón.",0
se pasan de verga igual en los últimos dos partidos van vs méxico y costa rica.,0
qué pinche talento tienen mis héroessi esos que se parten la madre en la cancha poniendo en alto a su país ante el mundo😍 #hechoenmexico,0
@usuario domingo con aguas negras martes nadando con aguas de lluvia. #interapas fracc tecnológico calle madre selva #slp #intolerable <url>,0
hacer todo el trabajo y que un hdp se lleve el credito eso si que me encabrona 😠,1
chico o chica no tengo problema a los dos les doy 🌶️,0
mi gastro dice que ya estoy súper curada y que me la pela todo lo que quiera tragar puedo iniciar mi proceso de llegar a puerco cuanto antes,0
vas aver putita mi exclava y te cojere duro asta que grites mi putita,1
pero si ya lo tenemoses un puto maricon el pendejo que nos gobierna!!!!!!,1
"hay un cabron ""rapeando"" reggaeton con playback. ¿qué putas le pasa a este mundo?",0
me siento como si estuviera peda a la verga sin estar peda a la verga.,0
chinguen a su madre todos menos @usuario  ella es chida.,1
andate a chile sampaoli mapuche y la reputa madre que te parió!,1
...a huevo lo que puebla necesitaba: otra pinche plaza comercial con las mismas putas tiendas...!! *true story &lt;3 *,0
'los del bloomberg me la pelan los del reforma son unos pendejos no los ve nadie we': pedrito sola,1
a los rojos y a los azules les van a mentar la madre hasta para llevar #masterchefmx,0
sonríele a todos no es necesario que todos sepan que te pelan la verga. 😌😌😌,0
esas canciones que ahora se burlan de mí esas putas canciones.,0
mira toda la verga que estoy valiendo y todavía ni miércoles es.,0
jajajaja jajajaja nombre que putas jamás pasará eso te lo aseguro bebé,0
la vdd le voy a pegar una calcomanía a mi credencial de la udc porque salgo de la verga,0
@usuario uno de tantos hijos de puta que ha tenido este país; en la actualidad seguimos teniendo varios y aparte sinicazos! ejemplo el hdp de duarte,1
mi novio no termina de entender que estoy loca.  se le olvidó que hoy hacemos otro mes juntos así que ya se lo cargó el payaso. 🙂🙄,0
@usuario desahoga zaragoza no jueguen ya pasaron tres trenes vacíos y el andén está hasta la madre.,0
joto tenias que ser wilo de mierda. vergüenza deberían de tener que ponen…,0
putos earpods con entrada lightning se me reventó en izquierdo,0
estoy leyendo un libro de la colonización española y que coraje lo que nos hacían los hdp 🇲🇽&gt;🇪🇸,1
le dije mal amigo por no quererme besar el pinche joto ese.,0
"igual no tengo ""celos"" porque es mi amigo y me vale mil hectáreas de verga quien se le insinue🙄",0
tania llasera ha sido mamá por segunda vez,0
dos putos años pera unos besos...super valió la pena,0
preparan monumental “agua loca” en un tinaco ¡y todo se sale de control!,0
no me putas carga nada y me hace enojar mucho. 8)))),0
puta madre porque se tienen que aparecer tres chicas sexys en mi vida al mismo tiempo,0
si no es el segundo piso es ruo san joaquin... ya estoy hasta la madre del tráfico!!!!,0
ojalá al puñal de eduardo yáñez la televisora le meta la demanda de su vida para que le bajen lo drogadicto alcohólico e hdp,0
la corrupción problema de percepción? o es ud. muy pendeja o muy corrupta. punto. @usuario @usuario,1
jajajajaja hasta creen que el dinero del premio nobel va destinado a continuar con investigación y no a putas y drogas.,0
a mí me gustan mas grandes que no me quepa en la boca los besos que quiera darme y que me vuelan loca,0
jajajajaja al principio me reí y después me cayó el 20 lloré como loca tlj,0
si estoy bien pinche amargado ni quién putas te pregunté tu opinión.,0
cuándo crees que todo está bien llega algo y te da en toda la madre y así no se pinches puede! 😭,0
alguien necesita medicar a esa niña está totalmente loca.,0
